gender,age,age_cat,educ,know_gov_name,know_sen1_name,know_sen2_name,know_house_name,knowledge,ability
Female,68,65+,Some coll.,1,1,1,1,0.635433024378626,0.635433024378626
Male,26,25-34,PG,0,0,0,0,-1.6106765816497899,-1.6106765816497899
Male,62,55-64,2yr,1,1,1,1,0.635433024378626,0.635433024378626
Female,76,65+,PG,1,1,1,1,0.635433024378626,0.635433024378626
Female,73,65+,Some coll.,1,1,1,1,0.635433024378626,0.635433024378626
Male,56,55-64,Some coll.,1,1,1,0,-0.18398097984411615,-0.18398097984411615
Male,67,65+,PG,1,0,0,0,-1.0279178082036446,-1.0279178082036446
Female,72,65+,Some coll.,1,1,1,1,0.635433024378626,0.635433024378626
Female,33,25-34,PG,1,1,1,1,0.635433024378626,0.635433024378626
Female,59,55-64,2yr,0,1,1,0,-0.6330801257009591,-0.6330801257009591
Female,79,65+,PG,1,1,1,1,0.635433024378626,0.635433024378626
Male,56,55-64,Some coll.,1,1,1,1,0.635433024378626,0.635433024378626
Male,27,25-34,4yr,1,0,0,0,-1.0279178082036446,-1.0279178082036446
Female,70,65+,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Female,54,45-54,Some coll.,1,1,1,1,0.635433024378626,0.635433024378626
Female,55,55-64,PG,1,1,1,0,-0.18398097984411615,-0.18398097984411615
Female,27,25-34,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Female,75,65+,HS,1,1,1,1,0.635433024378626,0.635433024378626
Male,64,55-64,None,1,1,0,0,-0.6371777576891599,-0.6371777576891599
Female,63,55-64,HS,1,1,1,0,-0.18398097984411615,-0.18398097984411615
Female,63,55-64,HS,1,1,1,1,0.635433024378626,0.635433024378626
Female,82,65+,HS,1,1,1,1,0.635433024378626,0.635433024378626
Male,68,65+,None,1,0,1,0,-0.6693201143190026,-0.6693201143190026
Male,64,55-64,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Male,56,55-64,Some coll.,1,1,1,1,0.635433024378626,0.635433024378626
Female,70,65+,PG,1,1,1,1,0.635433024378626,0.635433024378626
Male,62,55-64,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Male,23,18-24,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Female,63,55-64,Some coll.,1,1,1,1,0.635433024378626,0.635433024378626
Female,38,35-45,Some coll.,0,0,0,0,-1.6106765816497899,-1.6106765816497899
Male,34,25-34,PG,0,0,0,0,-1.6106765816497899,-1.6106765816497899
Male,72,65+,2yr,1,1,1,1,0.635433024378626,0.635433024378626
Male,38,35-45,PG,1,1,1,1,0.635433024378626,0.635433024378626
Male,62,55-64,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Male,69,65+,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Female,56,55-64,HS,1,1,1,0,-0.18398097984411615,-0.18398097984411615
Female,66,65+,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Male,49,45-54,PG,1,1,1,1,0.635433024378626,0.635433024378626
Female,31,25-34,4yr,1,0,1,0,-0.6693201143190026,-0.6693201143190026
Female,60,55-64,Some coll.,1,0,1,0,-0.6693201143190026,-0.6693201143190026
Female,60,55-64,Some coll.,1,1,1,1,0.635433024378626,0.635433024378626
Female,55,55-64,4yr,1,0,1,1,-0.3679230807673252,-0.3679230807673252
Female,62,55-64,Some coll.,1,1,1,1,0.635433024378626,0.635433024378626
Female,33,25-34,PG,1,1,1,0,-0.18398097984411615,-0.18398097984411615
Male,63,55-64,HS,1,1,1,1,0.635433024378626,0.635433024378626
Female,55,55-64,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Male,59,55-64,2yr,1,1,1,1,0.635433024378626,0.635433024378626
Female,74,65+,PG,1,1,1,1,0.635433024378626,0.635433024378626
Male,79,65+,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Female,80,65+,Some coll.,1,1,1,1,0.635433024378626,0.635433024378626
Male,69,65+,HS,1,1,1,1,0.635433024378626,0.635433024378626
Female,67,65+,PG,1,1,1,1,0.635433024378626,0.635433024378626
Male,35,35-45,PG,1,1,1,1,0.635433024378626,0.635433024378626
Female,63,55-64,HS,1,1,1,1,0.635433024378626,0.635433024378626
Male,56,55-64,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Female,62,55-64,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Female,63,55-64,Some coll.,1,1,1,0,-0.18398097984411615,-0.18398097984411615
Female,66,65+,2yr,1,1,1,1,0.635433024378626,0.635433024378626
Male,30,25-34,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Male,79,65+,PG,1,1,1,1,0.635433024378626,0.635433024378626
Male,66,65+,Some coll.,1,1,1,1,0.635433024378626,0.635433024378626
Male,67,65+,Some coll.,1,1,1,1,0.635433024378626,0.635433024378626
Male,72,65+,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Male,72,65+,PG,1,1,1,1,0.635433024378626,0.635433024378626
Female,54,45-54,PG,1,1,1,1,0.635433024378626,0.635433024378626
Female,74,65+,PG,1,1,1,1,0.635433024378626,0.635433024378626
Male,66,65+,Some coll.,1,1,1,1,0.635433024378626,0.635433024378626
Male,41,35-45,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Female,76,65+,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Female,60,55-64,HS,0,0,1,1,-0.7508579030970907,-0.7508579030970907
Female,61,55-64,PG,1,1,1,1,0.635433024378626,0.635433024378626
Female,76,65+,Some coll.,1,1,1,1,0.635433024378626,0.635433024378626
Male,72,65+,Some coll.,1,1,1,1,0.635433024378626,0.635433024378626
Female,73,65+,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Female,68,65+,2yr,1,1,1,1,0.635433024378626,0.635433024378626
Female,34,25-34,PG,1,1,1,1,0.635433024378626,0.635433024378626
Male,69,65+,HS,1,1,1,1,0.635433024378626,0.635433024378626
Female,84,65+,HS,1,1,1,1,0.635433024378626,0.635433024378626
Female,56,55-64,Some coll.,1,1,1,1,0.635433024378626,0.635433024378626
Male,74,65+,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Male,73,65+,Some coll.,1,1,1,1,0.635433024378626,0.635433024378626
Female,75,65+,HS,1,1,1,1,0.635433024378626,0.635433024378626
Male,70,65+,PG,1,1,1,1,0.635433024378626,0.635433024378626
