"eu_vote","party_id","income","gender","religion","age","ethnic_group","education","marital_status","social_class","region","wt_vote","ability"
"1","2","8","2","1","5","1","0","1","2","East Midlands",1.02735056585352,-0.72780497097891
"2","1","14","1","0","5","1","5","1","1","East Midlands",0.826375113982583,0.839420258271681
"2","1","8","2","0","3","1","1","1","2","East Midlands",0.485370976988775,-0.72780497097891
"1","2","15","1","0","4","1","4","1","1","East Midlands",0.898154333724836,0.322001889012642
"2","1","7","1","0","2","1","2","5","2","East Midlands",0.553021554258841,0.839420258271681
"1","1","3","2","0","2","1","4","3","2","East Midlands",0.422250708416912,-1.20741027342236
"1","2","5","1","0","7","1","0","1","2","East Midlands",1.26266645843848,0.839420258271681
"1","1","5","2","1","4","1","4","1","2","East Midlands",0.413178509713038,0.322001889012642
"1","2","3","1","1","8","1","0","4","1","East Midlands",0.631333229219238,0.0665939642829392
"1","2","7","2","0","5","1","0","3","1","East Midlands",1.02735056585352,-0.290903410526972
"1","0","7","1","0","4","1","2","1","2","East Midlands",1.92393572299358,-1.20741027342236
"1","2","7","2","1","6","1","0","1","1","East Midlands",1.58023555709573,0.292189428889772
"1","2","12","1","0","1","1","4","3","1","East Midlands",0.801797733621753,-0.290903410526972
"2","1","7","1","0","2","1","3","3","2","East Midlands",1.10604310851768,0.37240049774067
"2","2","10","2","0","5","1","0","6","2","East Midlands",1.02735056585352,-0.673286815884438
"1","2","4","1","0","5","1","3","3","2","East Midlands",0.562179110438012,0.0665939642829392
"1","1","11","2","1","4","1","0","1","2","East Midlands",1.02614811500816,-1.20741027342236
"1","2","3","2","1","6","1","1","6","2","East Midlands",0.459877400302322,0.839420258271681
"1","2","6","2","1","6","1","0","5","2","East Midlands",0.526745185698576,-0.673286815884438
"0","0","3","2","1","8","1","0","4","2","East Midlands",0.862796902909341,-1.20741027342236
"0","1","4","2","0","5","1","3","2","2","East Midlands",0.896933318521482,-1.20741027342236
"1","1","3","1","0","5","1","2","6","2","East Midlands",0.490813157541506,0.839420258271681
"0","2","5","1","1","7","1","0","4","2","East Midlands",0.944266565840199,-1.20741027342236
"0","1","3","2","1","7","1","1","4","2","East Midlands",0.862796902909341,-0.72780497097891
"2","1","7","2","0","6","1","4","1","1","East Midlands",0.325872643450689,0.839420258271681
"2","0","4","1","0","5","1","0","2","2","East Midlands",1.68166956349467,-0.317754884940321
"2","1","6","2","1","4","1","4","1","1","East Midlands",1.41567053245867,-1.20741027342236
"1","1","4","2","0","2","1","0","2","1","East Midlands",1.0106156492623,-0.72780497097891
"1","1","7","2","1","8","1","0","3","2","East Midlands",0.862796902909341,-1.20741027342236
"2","1","4","2","1","5","1","3","3","4","East Midlands",0.448466659260741,-1.20741027342236
"0","1","3","2","1","5","1","0","3","2","East Midlands",0.448466659260741,-0.72780497097891
"1","2","4","2","1","7","1","0","1","2","East Midlands",1.15372581129023,0.0665939642829392
"2","1","5","2","1","6","1","0","4","4","East Midlands",0.459877400302322,0.839420258271681
"1","2","7","1","0","3","1","3","1","2","East Midlands",0.608440824844759,-0.72780497097891
"0","2","11","1","0","4","1","4","2","4","East Midlands",1.54934532975065,-1.20741027342236
"1","1","6","1","1","6","1","2","1","2","East Midlands",1.01346575988269,-0.317754884940321
"1","2","15","1","1","4","1","4","1","1","East Midlands",1.55383007128428,0.839420258271681
"1","2","8","2","1","6","1","4","1","2","East Midlands",0.746511335306652,0.322001889012642
"2","2","13","2","1","3","1","4","1","1","East Midlands",0.661955351094516,0.839420258271681
"1","3","3","2","0","6","1","4","5","2","East Midlands",0.325872643450689,0.292189428889772
"2","2","15","2","0","4","1","4","1","1","East Midlands",0.946512225573074,0.839420258271681
"1","1","12","1","0","5","1","4","1","2","East Midlands",0.9465329511415,0.839420258271681
"2","3","11","1","0","3","1","4","1","1","East Midlands",0.845766066182211,0.322001889012642
"0","2","6","1","1","6","1","5","1","1","East Midlands",1.22196398494801,0.839420258271681
"2","1","12","2","1","2","1","4","1","1","East Midlands",0.844501416833825,0.292189428889772
"1","1","2","2","0","5","1","0","6","2","East Midlands",0.448466659260741,-0.72780497097891
"1","1","12","1","1","5","1","4","1","2","East Midlands",0.826375113982583,0.839420258271681
"1","1","9","2","0","5","1","4","1","2","East Midlands",0.755076918720628,0.839420258271681
"1","2","5","2","1","5","1","0","1","1","East Midlands",1.02735056585352,-0.673286815884438
"0","1","5","1","1","2","3","4","1","2","East Midlands",0.924243527105763,0.839420258271681
"2","1","6","1","0","6","1","4","1","1","East Midlands",1.42657276999884,0.839420258271681
"2","1","7","2","1","5","1","4","1","2","East Midlands",1.51015383744126,0.839420258271681
"1","2","7","2","1","4","1","4","1","1","East Midlands",1.41567053245867,-0.317754884940321
"1","0","4","1","1","3","1","3","2","2","East Midlands",0.53120216826723,0.839420258271681
"0","1","3","2","1","7","1","0","4","2","East Midlands",0.862796902909341,-0.317754884940321
"0","1","6","2","0","4","1","3","6","2","East Midlands",0.878970961827122,0.322001889012642
"0","1","13","2","0","3","1","5","2","1","East Midlands",0.772794853578795,-0.0358248190498095
"2","1","5","2","0","1","1","3","3","2","East Midlands",2.85432327634899,-0.00996496915823546
"1","7","6","1","0","2","1","1","1","1","East Midlands",1.89481374218246,-0.00996496915823546
"1","2","10","2","1","5","1","2","1","2","East Midlands",1.02735056585352,-0.317754884940321
"1","2","8","1","0","7","1","5","6","1","East Midlands",2.07378798375629,0.839420258271681
"1","0","8","1","0","3","1","3","1","2","East Midlands",1.82005413814081,-0.00996496915823546
"2","2","14","2","0","3","1","4","2","1","East Midlands",0.885161933131879,-0.290903410526972
"2","2","13","1","0","4","1","2","2","1","East Midlands",1.2863365036408,-0.290903410526972
"1","2","8","1","0","6","1","4","1","1","East Midlands",0.817000724705732,0.839420258271681
"2","1","12","2","0","5","1","3","1","2","East Midlands",0.954036812821082,-0.317754884940321
"2","0","13","2","1","4","1","4","1","2","East Midlands",0.826357019426076,-0.290903410526972
"1","6","7","2","1","7","1","0","1","1","East Midlands",1.00032544403397,-0.247353298644551
"1","1","11","1","0","6","1","4","1","1","East Midlands",0.713286384999419,0.0665939642829392
"2","0","10","2","0","4","1","4","6","1","East Midlands",1.41567053245867,-0.317754884940321
"1","2","6","1","1","5","1","4","1","1","East Midlands",0.9465329511415,0.839420258271681
"2","2","6","2","0","4","1","4","3","1","East Midlands",0.707835266229335,-1.20741027342236
"2","2","13","2","0","4","1","4","1","1","East Midlands",1.41976833835961,-0.290903410526972
"2","2","14","2","1","5","1","0","6","2","East Midlands",0.76828903171483,-0.72780497097891
"1","2","6","2","1","4","1","2","5","2","East Midlands",0.587676823256462,-0.317754884940321
"2","6","10","2","0","3","1","5","3","1","East Midlands",0.383735024014026,0.839420258271681
"0","0","6","1","0","1","1","2","2","2","East Midlands",2.08256197865916,-0.72780497097891
"2","2","13","1","0","5","1","4","1","1","East Midlands",0.9465329511415,0.839420258271681
"1","2","14","1","0","5","1","0","1","1","East Midlands",1.12435822087602,-0.317754884940321
"2","0","11","2","0","4","1","4","1","4","East Midlands",0.826357019426076,0.839420258271681
"0","2","13","1","1","3","3","4","1","1","Eastern",0.382952597468653,0.322001889012642
"0","0","5","2","1","3","4","0","3","2","Eastern",3.01198653308459,-0.290903410526972
"1","1","7","2","1","4","3","5","3","2","Eastern",0.374164416945872,-0.72780497097891
"2","1","3","1","0","1","1","3","2","2","Eastern",1.10085019166901,-0.398214868178642
"2","2","1","2","1","6","1","4","6","1","Eastern",0.338011261418812,-0.640977892727688
"1","2","4","2","1","7","1","0","4","2","Eastern",0.52239302789081,0.839420258271681
"1","0","5","2","0","2","1","3","2","2","Eastern",1.56785266837916,0.37240049774067
"0","2","8","2","1","7","1","0","4","1","Eastern",0.781327906778087,-0.640977892727688
"2","3","14","2","1","4","1","5","1","1","Eastern",0.795971384812702,0.839420258271681
"1","2","13","1","1","6","1","2","1","1","Eastern",0.522049121143146,0.0665939642829392
"0","1","14","2","1","4","1","2","4","2","Eastern",0.464627397270486,-1.20741027342236
"1","1","12","2","1","4","1","0","1","2","Eastern",1.59194948291387,0.0665939642829392
"2","1","10","1","0","5","1","2","6","2","Eastern",0.444468467269572,0.839420258271681
"2","2","14","2","1","2","1","5","3","1","Eastern",1.31393810547265,-0.72780497097891
"1","2","11","2","1","4","1","1","1","1","Eastern",1.59655754660914,-1.20741027342236
"2","3","13","1","1","3","1","4","1","1","Eastern",0.438635246991413,0.292189428889772
"2","2","2","2","1","4","1","1","5","2","Eastern",0.532185848869714,-1.20741027342236
"1","7","15","2","0","3","1","2","1","2","Eastern",1.0069016806738,-0.72780497097891
"1","1","14","2","1","3","1","2","1","2","Eastern",0.879080321643952,-1.20741027342236
"1","2","6","1","0","6","1","4","1","1","Eastern",0.739856000778418,0.839420258271681
"0","2","7","1","1","5","1","2","1","1","Eastern",1.52287908719554,-1.20741027342236
"1","1","3","2","1","5","1","0","6","2","Eastern",0.406120507570684,-0.0781367647476091
"1","2","15","1","1","3","1","4","1","1","Eastern",0.877270493982826,0.839420258271681
"1","2","4","2","1","6","1","1","1","2","Eastern",0.954015277429776,-0.317754884940321
"2","1","7","2","0","1","1","3","3","1","Eastern",1.00587076817026,-0.640977892727688
"1","7","4","1","1","6","1","1","6","1","Eastern",0.522049121143146,-0.72780497097891
"1","2","9","2","0","3","1","3","1","2","Eastern",0.439540160821976,0.839420258271681
"1","1","5","2","1","7","1","2","1","2","Eastern",0.918374555031392,0.839420258271681
"2","1","3","2","1","8","1","0","4","2","Eastern",0.781327906778087,-0.398214868178642
"1","1","5","2","0","6","1","0","6","2","Eastern",0.419293189765662,-0.398214868178642
"1","1","8","2","0","2","1","0","2","2","Eastern",2.35177900256873,-0.247353298644551
"0","2","12","1","1","5","1","2","3","2","Eastern",1.52287908719554,0.0665939642829392
"2","2","12","2","1","7","1","4","3","1","Eastern",0.428985967275067,0.839420258271681
"2","3","15","2","1","4","1","4","3","1","Eastern",0.374164416945872,0.839420258271681
"1","1","3","2","1","5","1","0","6","2","Eastern",0.406120507570684,0.322001889012642
"1","2","12","2","0","2","1","2","1","2","Eastern",3.13570533675831,-0.72780497097891
"1","2","4","2","0","8","1","3","4","1","Eastern",0.52239302789081,0.292189428889772
"1","2","7","2","1","5","1","0","1","2","Eastern",1.86068740960689,0.839420258271681
"2","0","13","2","1","6","1","4","1","1","Eastern",1.35204504567525,0.292189428889772
