"gender","age","nationality","education_ISCED","in_paid_work","religion","ideology_left_right","gen_imm_escape","gen_imm_work","gen_imm_study","gen_imm_family_war","gen_imm_marriage","gen_imm_ess_good_bad","gen_imm_ess_jobs","gen_imm_ess_welfare","gen_imm_ess_safety","imm_anger","imm_fear","imm_hope","imm_sympathy","imm_size","eu_nat_identity","free_move_protect_jobs","free_move_protect_services","part_in_W2","gen_know_switzerland","gen_know_ep","gen_know_party","mig_know_free_move","mig_know_schengen","mig_know_asylum","mig_know_syrians","gen_know_sum","mig_know_sum","gen_know_prop","mig_know_prop","W1_EX1","W1_EX2","W2_EX1","W2_EX2","W2_CC","WEIGHT","WEIGHTEX1","WEIGHTEX2"
"female",40,"germany",7,1,NA,3,3,5,4,3,3,7,5,3,6,5,1,6,4,5,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"male",68,"hungary",7,0,66,9,4,3,3,2,2,2,0,0,10,7,7,1,1,5,5,3,1,1,1,1,1,1,0,0,0,3,2,1,0.5,NA,NA,NA,NA,2,1,1,1
"male",64,"uk",3,1,NA,3,4,5,4,4,3,10,7,7,4,1,1,5,6,5,NA,2,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",44,"uk",3,1,NA,5,4,4,4,4,4,6,6,5,4,3,5,4,4,2,NA,3,2,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",71,"uk",6,0,NA,6,3,4,3,3,4,7,7,7,6,3,4,4,5,40,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",56,"germany",2,0,NA,5,3,3,4,3,3,3,NA,NA,8,4,3,2,3,35,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"male",63,"sweden",4,0,NA,2,3,3,3,3,3,4,4,4,4,NA,NA,NA,NA,20,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"male",50,"germany",2,1,NA,10,2,3,2,2,2,2,4,0,10,7,7,1,1,50,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",64,"sweden",6,1,NA,4,3,5,4,3,3,5,5,4,7,2,3,3,4,25,NA,2,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",19,"germany",3,0,NA,5,5,5,5,5,4,8,6,7,5,3,3,4,5,10,NA,3,2,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",59,"sweden",3,1,NA,9,4,3,3,4,4,7,9,5,8,1,3,4,4,35,NA,4,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",59,"uk",2,0,NA,7,5,3,4,5,3,5,5,6,6,1,3,4,6,50,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"male",34,"uk",6,1,NA,5,4,5,5,4,3,8,5,6,5,3,3,3,4,5,NA,3,4,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",58,"germany",4,1,1,4,3,4,5,3,4,5,7,5,5,1,2,5,5,20,1,3,2,1,1,0,1,1,0,0,1,2,2,0.666666666666667,0.5,NA,NA,NA,NA,2,1,1,1
"female",66,"sweden",2,0,NA,3,5,5,5,4,4,5,6,9,6,1,1,6,6,9,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",37,"uk",2,1,NA,5,NA,3,3,3,3,4,3,3,5,4,4,2,3,80,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",52,"uk",2,0,NA,3,4,3,5,4,3,6,2,7,NA,4,4,4,4,35,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"male",59,"poland",3,0,2,3,4,3,4,4,3,6,6,7,6,3,4,5,5,1,2,3,3,1,1,0,0,1,1,0,1,2,2,0.666666666666667,0.5,NA,NA,NA,NA,2,1,1,1
"male",23,"sweden",3,1,NA,6,4,4,3,5,4,6,5,6,6,3,5,5,6,30,NA,4,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"male",55,"uk",3,1,1,7,4,4,4,4,3,7,5,5,8,3,1,4,6,7,5,3,3,1,1,1,1,1,1,0,0,3,3,1,0.75,NA,NA,NA,NA,2,1,1,1
"female",51,"germany",5,1,1,3,3,4,4,3,4,7,8,6,4,2,3,4,5,7,1,3,3,1,1,0,1,1,0,1,1,2,3,0.666666666666667,0.75,NA,NA,NA,NA,2,1,1,1
"female",26,"uk",3,1,NA,4,4,3,3,4,4,5,3,5,5,2,2,4,7,20,NA,3,2,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",55,"germany",3,1,NA,5,3,4,4,4,2,5,5,5,4,5,6,3,4,65,NA,4,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"male",26,"romania",8,0,NA,8,4,5,5,4,3,3,2,3,5,6,6,6,5,5,NA,4,2,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1,NA,NA,NA,1,1,1
"male",36,"spain",4,0,NA,0,4,1,2,5,4,6,7,6,7,3,4,3,4,20,NA,4,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",52,"sweden",4,1,NA,7,4,3,4,3,3,7,5,3,7,5,5,4,3,10,3,3,4,1,0,1,1,0,1,0,0,2,2,0.666666666666667,0.5,NA,NA,NA,NA,2,1,1,1
"female",48,"germany",3,0,NA,5,3,3,3,3,3,5,5,5,9,2,6,2,2,20,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",48,"spain",1,1,NA,4,4,4,4,4,4,6,2,5,5,1,4,3,5,10,NA,2,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"male",23,"spain",6,1,NA,3,3,4,4,3,4,3,2,0,10,6,4,1,1,35,NA,3,4,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",31,"uk",2,0,NA,5,4,4,4,4,3,5,3,5,10,3,5,2,4,25,NA,2,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",22,"germany",7,1,NA,7,4,3,3,3,3,2,2,2,10,4,5,2,2,20,NA,4,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"male",56,"poland",3,1,2,3,NA,3,4,NA,3,NA,0,NA,NA,1,1,1,1,1,2,NA,NA,1,1,0,1,1,0,0,0,2,2,0.666666666666667,0.5,NA,NA,NA,NA,2,1,1,1
"female",71,"sweden",5,0,NA,1,5,4,4,4,4,10,9,9,1,1,1,5,6,1,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"male",29,"sweden",3,0,NA,5,3,3,3,3,3,4,5,2,8,3,4,4,2,30,NA,2,5,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"male",63,"poland",7,1,NA,6,4,4,5,4,5,10,8,8,5,1,2,6,3,2,NA,4,2,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",39,"uk",6,1,5,4,5,5,5,5,5,7,7,7,6,1,2,5,7,1,1,2,3,1,0,0,1,0,0,0,0,1,1,0.333333333333333,0.25,NA,NA,NA,NA,2,1,1,1
"male",34,"sweden",6,1,NA,7,3,4,3,4,3,7,5,6,5,5,5,4,4,10,NA,4,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",36,"sweden",7,1,NA,6,4,5,5,4,4,6,8,8,6,1,2,3,6,3,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"male",62,"germany",3,0,NA,5,3,4,4,2,2,5,5,5,8,1,3,1,1,5,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"male",37,"germany",6,1,NA,6,4,4,4,3,4,6,5,3,9,3,6,3,3,4,NA,3,2,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"male",59,"sweden",5,1,NA,2,3,3,4,3,3,3,5,2,10,4,2,2,3,50,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"male",69,"sweden",5,1,NA,4,5,4,3,5,3,8,7,8,6,1,2,4,5,2,NA,2,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",69,"spain",4,0,NA,4,5,4,4,5,4,6,7,5,5,1,1,6,7,12,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"male",53,"germany",3,1,NA,5,3,3,4,3,3,5,5,5,5,1,1,1,1,10,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",35,"uk",3,1,NA,5,3,4,3,3,3,5,5,0,7,7,5,3,4,30,NA,5,5,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",46,"uk",2,0,NA,5,2,3,3,2,3,7,3,3,8,5,2,1,1,20,NA,5,5,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"male",46,"uk",6,1,NA,6,3,2,3,2,3,1,0,1,8,6,4,1,2,20,NA,5,5,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",34,"sweden",5,1,NA,6,3,4,4,3,2,6,4,3,8,5,5,2,1,11,3,2,2,1,1,1,1,1,1,1,1,3,4,1,1,NA,1,NA,NA,2,1,1,1
"female",48,"hungary",7,1,1,5,2,2,3,4,2,5,5,5,5,5,5,5,5,5,3,3,3,1,1,1,0,1,0,1,1,3,2,1,0.5,NA,NA,NA,NA,2,1,1,1
"male",39,"romania",7,1,4,10,3,5,5,4,5,10,10,NA,5,1,4,5,7,1,2,3,1,1,0,0,1,1,0,0,0,1,2,0.333333333333333,0.5,NA,NA,NA,NA,2,1,1,1
"female",60,"sweden",2,0,NA,6,5,5,5,5,5,10,10,10,2,1,1,4,5,10,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"male",67,"spain",5,1,NA,8,3,4,5,3,4,10,10,10,10,1,5,7,7,12,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",22,"sweden",5,0,NA,4,5,5,5,5,5,9,10,10,2,1,1,6,7,15,1,1,1,1,0,0,1,1,0,0,1,1,2,0.333333333333333,0.5,NA,NA,NA,NA,2,1,1,1
"male",70,"poland",3,0,2,2,5,5,3,4,3,6,7,6,5,2,6,3,2,2,2,3,2,1,0,0,0,1,0,0,0,1,1,0.333333333333333,0.25,NA,NA,NA,NA,2,1,1,1
"female",65,"sweden",6,0,NA,7,3,4,4,3,3,5,5,3,8,1,3,3,3,15,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",22,"germany",3,0,NA,6,3,3,4,3,4,7,6,5,7,4,5,4,5,18,NA,1,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"male",34,"sweden",5,1,NA,2,5,5,5,5,5,10,10,8,10,1,1,7,7,10,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"male",41,"spain",7,0,NA,6,3,5,5,4,4,7,8,4,5,1,2,4,6,10,NA,2,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",68,"germany",7,0,NA,1,5,5,5,5,5,10,10,7,6,1,1,4,7,3,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",47,"sweden",3,1,NA,8,2,5,4,2,4,0,5,0,10,7,3,1,2,35,3,5,5,1,0,0,1,1,0,0,0,1,2,0.333333333333333,0.5,NA,NA,NA,NA,2,1,1,1
"male",50,"sweden",4,1,NA,5,3,4,4,3,4,5,8,7,5,2,1,3,4,7,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",61,"uk",3,0,3,4,4,4,4,4,4,8,5,7,5,2,2,6,4,8,2,2,2,1,1,1,1,1,0,0,0,3,2,1,0.5,NA,NA,NA,NA,2,1,1,1
"female",44,"poland",7,1,NA,8,3,3,4,3,4,7,6,6,6,4,5,4,4,3,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",49,"germany",4,1,3,5,2,4,3,2,2,3,0,0,10,7,6,1,1,70,4,5,5,1,1,0,1,1,0,0,0,2,2,0.666666666666667,0.5,NA,NA,NA,NA,2,1,1,1
"female",59,"poland",7,0,NA,3,4,4,5,4,4,7,5,5,4,2,3,6,7,1,NA,2,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",61,"sweden",7,0,NA,4,5,4,4,5,4,8,6,5,NA,1,3,6,6,9,1,1,1,1,1,1,1,1,1,1,1,3,4,1,1,NA,NA,NA,NA,2,1,1,1
"female",74,"sweden",6,0,NA,4,5,5,4,5,5,7,7,7,5,1,2,7,5,15,NA,1,2,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"male",36,"sweden",3,1,NA,8,3,4,2,4,2,0,9,0,10,5,5,4,3,30,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"male",75,"sweden",5,0,NA,4,5,5,5,4,2,10,8,4,8,1,2,6,3,20,NA,3,2,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"male",54,"germany",7,1,3,5,4,4,4,4,4,5,6,5,6,1,1,1,1,17,2,3,3,1,0,0,1,1,1,0,0,1,3,0.333333333333333,0.75,NA,NA,NA,NA,2,1,1,1
"female",21,"germany",3,0,NA,1,5,5,5,5,5,7,5,6,5,2,3,6,6,28,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",53,"sweden",3,1,NA,3,4,5,5,5,4,10,10,10,5,4,5,5,6,7,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",30,"spain",4,1,NA,1,4,3,3,4,2,0,0,0,10,1,5,3,2,0,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",66,"uk",6,0,NA,2,5,2,4,4,2,3,2,2,5,1,1,1,1,14,NA,5,4,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",66,"poland",3,0,NA,4,4,4,4,4,4,5,8,5,4,4,2,4,7,0,NA,1,2,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"male",74,"sweden",4,1,NA,5,3,5,3,3,3,2,9,0,8,1,1,1,2,80,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"male",51,"poland",3,0,NA,6,4,4,4,4,4,7,7,7,6,3,3,3,5,3,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"male",67,"uk",3,0,1,7,4,4,4,4,1,5,3,3,5,4,3,4,4,2,4,4,5,1,1,1,1,1,0,0,0,3,2,1,0.5,NA,NA,NA,NA,2,1,1,1
"female",32,"germany",4,1,NA,5,4,4,4,3,3,5,3,5,3,5,6,5,4,30,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",72,"uk",2,0,3,8,4,5,5,4,5,7,NA,4,7,1,5,3,4,10,3,3,3,1,1,1,1,1,0,0,0,3,2,1,0.5,NA,NA,NA,NA,2,1,1,1
"male",35,"uk",6,1,NA,3,3,3,3,3,3,7,7,7,6,5,5,6,5,22,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"male",49,"germany",2,1,3,5,4,3,3,3,4,5,5,5,8,5,5,1,4,2,5,3,2,1,1,0,1,1,1,1,1,2,4,0.666666666666667,1,NA,NA,NA,NA,2,1,1,1
"male",55,"germany",2,1,NA,6,3,4,4,3,3,6,5,NA,9,4,5,2,2,10,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"male",72,"spain",8,0,NA,7,2,4,4,3,4,4,8,2,7,6,6,3,3,5,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",46,"uk",2,0,NA,5,1,2,3,1,1,1,0,0,5,1,4,7,6,25,NA,5,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",47,"spain",5,0,NA,4,4,4,4,4,4,7,7,6,7,3,4,3,4,20,NA,3,2,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",69,"uk",5,0,1,5,3,2,3,1,3,6,4,0,8,4,2,1,1,10,5,4,5,1,1,0,1,1,0,0,0,2,2,0.666666666666667,0.5,NA,NA,NA,NA,2,1,1,1
"male",75,"uk",6,0,NA,8,3,3,4,3,3,5,4,4,8,6,5,NA,4,25,NA,5,5,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"male",64,"germany",4,1,NA,2,4,3,4,3,3,7,5,5,5,2,2,2,3,1,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",76,"uk",3,0,3,8,2,4,3,2,3,7,10,5,8,3,4,3,3,6,3,3,5,1,1,1,1,1,0,0,0,3,2,1,0.5,NA,NA,NA,NA,2,1,1,1
"male",54,"germany",5,1,NA,6,3,3,3,2,2,5,5,5,6,5,5,3,3,15,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"male",75,"uk",2,0,1,5,4,3,4,3,2,5,4,5,6,2,3,5,5,6,5,3,4,1,0,0,1,1,0,0,1,1,2,0.333333333333333,0.5,NA,NA,NA,NA,2,1,1,1
"female",56,"uk",2,0,NA,5,3,3,3,3,3,6,5,4,8,3,5,5,5,15,NA,3,4,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",54,"uk",2,1,3,NA,3,4,4,3,3,2,0,1,10,4,7,3,4,20,2,3,3,1,0,0,1,1,0,0,0,1,2,0.333333333333333,0.5,NA,NA,NA,NA,2,1,1,1
"male",69,"uk",2,0,1,6,3,4,4,3,3,5,3,2,7,4,3,3,3,8,5,4,4,1,1,1,1,1,0,1,1,3,3,1,0.75,NA,NA,NA,NA,2,1,1,1
"female",42,"germany",3,0,2,6,4,4,4,3,4,3,5,4,9,5,5,2,3,2,4,2,4,1,1,1,1,1,0,1,1,3,3,1,0.75,NA,NA,NA,NA,2,1,1,1
"female",32,"romania",4,1,4,4,3,4,4,3,4,3,3,6,3,2,5,3,5,50,3,4,1,1,1,0,0,0,0,1,0,2,1,0.666666666666667,0.25,NA,NA,NA,NA,2,1,1,1
"female",53,"uk",3,1,NA,5,4,3,4,4,4,5,3,2,7,4,1,1,2,30,NA,3,4,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"male",72,"uk",2,0,3,5,4,3,4,4,4,3,0,3,10,3,3,1,3,40,4,4,3,1,1,0,1,1,0,0,0,2,2,0.666666666666667,0.5,NA,NA,NA,NA,2,1,1,1
"female",40,"romania",6,1,NA,5,3,3,3,3,3,10,0,0,5,4,3,4,5,40,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1,NA,NA,NA,1,1,1
"male",53,"uk",4,1,NA,5,3,3,3,3,3,1,0,0,10,5,7,1,3,20,NA,5,5,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"male",50,"uk",7,1,NA,3,1,1,1,1,1,0,0,0,10,4,2,1,1,10,NA,5,5,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",36,"germany",2,0,NA,NA,5,5,5,5,5,1,1,5,NA,1,3,1,4,40,NA,NA,5,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",61,"uk",2,1,1,6,4,4,4,4,4,6,3,4,5,4,5,5,6,15,4,4,4,1,0,0,0,0,0,0,0,1,0,0.333333333333333,0,NA,NA,NA,NA,2,1,1,1
"female",30,"uk",3,0,5,5,5,5,5,5,5,NA,NA,NA,5,NA,NA,7,7,100,5,NA,NA,1,0,0,0,0,0,0,0,1,0,0.333333333333333,0,NA,NA,NA,NA,2,1,1,1
"male",43,"hungary",1,1,NA,7,3,4,3,3,3,2,4,5,4,4,4,5,4,25,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1,NA,NA,NA,1,1,1
"female",58,"hungary",3,1,NA,5,2,2,2,2,2,3,4,3,4,7,7,1,1,15,NA,5,5,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"male",65,"hungary",4,0,NA,5,3,4,4,3,3,6,5,5,5,1,2,4,2,5,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",71,"sweden",5,0,NA,2,5,3,5,4,3,10,10,10,NA,1,1,6,7,38,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",74,"sweden",5,0,NA,3,5,5,4,5,5,10,5,8,9,1,1,7,7,5,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",74,"germany",3,NA,NA,3,4,4,4,3,3,6,6,8,4,1,1,2,2,5,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"male",22,"germany",2,1,NA,5,4,4,5,4,3,7,6,4,4,3,2,5,5,12,NA,2,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"male",39,"uk",3,1,7,9,3,4,3,3,4,8,8,6,6,3,2,4,5,10,2,3,3,1,0,0,0,0,0,0,0,1,0,0.333333333333333,0,NA,NA,NA,NA,2,1,1,1
"female",23,"uk",3,0,NA,8,4,4,4,4,4,6,10,NA,5,5,7,7,6,40,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",58,"sweden",4,1,NA,7,5,5,5,5,5,8,8,8,5,1,3,NA,6,15,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",56,"sweden",6,1,NA,2,4,5,5,5,4,7,7,1,5,3,3,4,6,15,4,2,3,1,1,1,1,1,1,1,1,3,4,1,1,NA,NA,NA,NA,2,1,1,1
"male",19,"sweden",3,0,NA,3,4,4,4,4,4,8,7,8,5,2,2,5,5,20,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"male",79,"spain",8,0,NA,7,3,4,5,NA,2,6,5,2,8,1,2,2,2,8,NA,2,4,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",60,"poland",3,0,NA,9,4,3,4,4,4,6,NA,5,7,5,5,1,6,25,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",56,"germany",3,1,2,5,4,4,4,4,3,5,5,4,5,4,4,5,5,60,1,1,3,1,1,1,1,1,0,1,1,3,3,1,0.75,NA,NA,NA,NA,2,1,1,1
"male",69,"poland",3,0,NA,5,4,3,4,4,4,6,6,7,7,3,7,5,5,25,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"male",45,"germany",2,1,NA,5,3,3,3,3,3,6,6,5,6,1,2,1,4,5,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",64,"germany",3,0,2,5,4,5,5,4,3,5,5,0,10,1,5,1,3,4,1,2,3,1,1,0,1,1,0,0,0,2,2,0.666666666666667,0.5,NA,NA,NA,NA,2,1,1,1
"female",30,"sweden",1,1,NA,5,3,5,3,4,4,5,4,5,5,4,3,4,4,80,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1,NA,NA,NA,1,1,1
"female",50,"germany",2,0,3,5,2,3,4,3,4,3,2,2,8,4,5,3,4,10,3,3,4,1,1,0,1,1,1,0,1,2,3,0.666666666666667,0.75,NA,NA,NA,NA,2,1,1,1
"male",55,"sweden",4,0,NA,5,2,4,4,2,3,3,3,2,8,6,6,2,2,20,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",32,"poland",7,1,NA,5,3,3,3,3,3,6,5,5,5,1,4,4,4,1,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",55,"uk",2,0,1,3,NA,4,3,NA,3,5,5,5,5,4,4,2,2,6,4,3,4,1,1,1,1,1,0,0,0,3,2,1,0.5,NA,NA,NA,NA,2,1,1,1
"male",68,"germany",4,0,NA,7,4,5,4,3,3,7,4,0,10,5,5,2,1,20,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"male",66,"uk",3,0,NA,8,3,4,3,3,3,7,1,3,5,1,5,2,4,5,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
