"gender","age","nationality","education_ISCED","in_paid_work","religion","ideology_left_right","gen_imm_escape","gen_imm_work","gen_imm_study","gen_imm_family_war","gen_imm_marriage","gen_imm_ess_good_bad","gen_imm_ess_jobs","gen_imm_ess_welfare","gen_imm_ess_safety","imm_anger","imm_fear","imm_hope","imm_sympathy","imm_size","eu_nat_identity","free_move_protect_jobs","free_move_protect_services","part_in_W2","gen_know_switzerland","gen_know_ep","gen_know_party","mig_know_free_move","mig_know_schengen","mig_know_asylum","mig_know_syrians","gen_know_sum","mig_know_sum","gen_know_prop","mig_know_prop","W1_EX1","W1_EX2","W2_EX1","W2_EX2","W2_CC","WEIGHT","WEIGHTEX1","WEIGHTEX2"
"female",30,"sweden",6,1,NA,6,3,4,4,3,4,7,6,5,8,1,3,2,4,14,2,2,4,1,1,0,1,1,0,0,1,2,2,0.666666666666667,0.5,NA,NA,NA,NA,2,1,1,1
"male",59,"sweden",7,0,3,7,1,5,1,1,1,0,0,0,10,7,7,1,1,35,5,5,5,1,1,1,1,1,1,1,1,3,4,1,1,NA,NA,NA,NA,2,1,1,1
"male",63,"uk",6,0,NA,2,4,5,4,4,3,8,6,8,7,4,4,5,5,18,NA,5,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",54,"uk",3,0,NA,5,5,4,3,5,4,9,5,9,5,3,4,6,5,15,NA,4,2,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",24,"uk",3,1,NA,4,4,4,4,4,4,7,9,4,5,2,1,6,6,6,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",62,"uk",0,0,NA,0,5,5,5,5,5,5,0,10,10,NA,NA,NA,NA,25,4,5,5,1,0,0,0,0,0,0,0,1,0,0.333333333333333,0,NA,NA,NA,NA,2,1,1,1
"male",61,"uk",3,1,3,7,3,3,3,3,3,7,5,6,6,4,4,4,4,40,2,3,3,1,1,1,1,1,1,0,1,3,3,1,0.75,NA,NA,NA,NA,2,1.1207,1.119,1.1041
"female",47,"uk",6,1,1,1,5,5,5,5,5,10,10,10,5,1,1,7,7,3,1,3,2,1,1,0,1,0,0,0,0,2,1,0.666666666666667,0.25,NA,NA,NA,NA,2,1,1,1
"male",46,"uk",3,1,NA,5,3,3,3,3,3,5,5,5,5,2,2,2,2,20,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",45,"germany",2,1,5,3,5,5,5,5,4,6,4,6,8,3,5,4,5,40,3,2,2,1,1,1,1,1,0,0,1,3,2,1,0.5,NA,NA,NA,NA,2,1,1,1
"female",24,"romania",6,1,NA,5,2,5,5,4,5,10,7,5,4,1,1,6,7,35,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",27,"romania",7,1,NA,NA,3,5,4,3,5,9,7,6,5,2,3,6,5,8,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",34,"romania",7,1,NA,5,4,4,4,4,4,10,0,0,NA,2,2,4,4,11,NA,1,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"male",35,"romania",7,1,3,9,5,3,5,3,5,7,8,NA,7,2,3,6,5,2,2,3,2,1,0,1,0,1,1,1,0,2,3,0.666666666666667,0.75,NA,NA,NA,NA,2,0.6422,0.6473,0.6592
