"gender","age","nationality","education_ISCED","in_paid_work","religion","ideology_left_right","gen_imm_escape","gen_imm_work","gen_imm_study","gen_imm_family_war","gen_imm_marriage","gen_imm_ess_good_bad","gen_imm_ess_jobs","gen_imm_ess_welfare","gen_imm_ess_safety","imm_anger","imm_fear","imm_hope","imm_sympathy","imm_size","eu_nat_identity","free_move_protect_jobs","free_move_protect_services","part_in_W2","gen_know_switzerland","gen_know_ep","gen_know_party","mig_know_free_move","mig_know_schengen","mig_know_asylum","mig_know_syrians","gen_know_sum","mig_know_sum","gen_know_prop","mig_know_prop","W1_EX1","W1_EX2","W2_EX1","W2_EX2","W2_CC","WEIGHT","WEIGHTEX1","WEIGHTEX2","education_binary","gen_imm_sum"
"male",55,"uk",7,1,3,7,3,5,5,3,4,8,9,10,7,1,1,4,3,7,2,2,4,1,1,1,1,1,1,0,0,3,3,1,0.75,NA,NA,NA,NA,2,1,1,1,1,20
"male",68,"uk",2,0,2,NA,3,3,3,3,3,NA,0,0,10,1,7,1,1,100,3,3,3,1,0,0,1,0,0,0,0,1,1,0.333333333333333,0.25,NA,NA,NA,NA,2,1.0528,1.0514,1.0156,0,15
"female",65,"spain",2,0,1,3,4,4,4,3,4,4,4,0,7,4,4,3,7,20,2,3,2,1,0,0,1,0,0,0,0,1,1,0.333333333333333,0.25,NA,NA,NA,NA,2,1,1,1,0,19
"female",55,"spain",4,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,5,1,4,NA,4,15,1,3,NA,1,1,1,1,1,0,0,0,3,2,1,0.5,NA,NA,NA,NA,2,1,1,1,0,NA
"male",53,"spain",5,0,2,9,4,4,4,4,4,4,5,3,4,2,1,3,3,20,2,3,4,1,1,1,1,1,1,0,0,3,3,1,0.75,NA,NA,NA,NA,2,1,1,1,0,20
"female",52,"spain",4,1,66,6,NA,4,5,NA,NA,9,7,4,7,6,7,6,6,30,2,2,3,1,0,0,1,0,0,0,0,1,1,0.333333333333333,0.25,NA,NA,NA,NA,2,1.1083,1.107,1.0861,0,NA
"male",60,"spain",6,1,2,9,3,5,5,4,4,7,5,2,9,2,2,3,3,5,1,3,3,1,1,1,1,1,0,1,1,3,3,1,0.75,NA,NA,NA,NA,2,0.927,0.9589,0.8974,1,21
"male",66,"spain",6,0,2,7,4,4,4,4,4,7,5,4,NA,3,3,5,5,10,2,2,3,1,1,0,1,1,1,0,0,2,3,0.666666666666667,0.75,NA,NA,NA,NA,2,0.905,0.8991,0.8866,1,20
"female",61,"spain",5,0,2,8,4,4,4,4,4,6,5,6,5,1,1,5,5,20,2,4,3,1,1,1,1,1,1,0,1,3,3,1,0.75,NA,NA,NA,NA,2,0.9376,0.9362,0.9041,0,20
"male",62,"spain",4,1,2,5,5,4,4,5,4,6,6,3,0,2,2,6,6,50,2,3,3,1,1,1,1,1,0,0,0,3,2,1,0.5,NA,NA,NA,NA,2,1.0893,1.0936,1.0673,0,22
"female",73,"germany",2,0,1,5,5,4,4,4,4,10,10,5,7,4,2,4,6,8,3,3,3,1,1,0,1,1,1,0,1,2,3,0.666666666666667,0.75,NA,NA,NA,NA,2,0.9725,0.9661,0.9366,0,21
"female",70,"uk",6,0,66,5,3,4,4,4,2,5,2,5,2,4,5,5,4,25,4,3,5,1,1,0,1,0,0,0,1,2,1,0.666666666666667,0.25,NA,NA,NA,NA,2,1,1,1,1,17
"male",74,"uk",3,0,6,7,4,4,4,4,4,8,6,8,4,3,3,6,5,10,4,4,4,1,1,1,1,1,1,0,1,3,3,1,0.75,NA,NA,NA,NA,2,1.0448,1.0477,1.0412,0,20
"male",44,"germany",2,1,1,3,4,5,5,5,4,8,8,5,6,1,1,4,5,7,2,2,2,1,1,0,1,0,1,0,1,2,2,0.666666666666667,0.5,NA,NA,NA,NA,2,1,1,1,0,23
"female",43,"sweden",7,1,NA,6,3,4,3,3,4,6,8,5,7,2,3,2,5,2,2,4,3,1,1,0,1,1,1,0,1,2,3,0.666666666666667,0.75,NA,NA,NA,NA,2,0.9583,0.9323,0.8543,1,17
"female",30,"sweden",6,1,NA,6,3,4,4,3,4,7,6,5,8,1,3,2,4,14,2,2,4,1,1,0,1,1,0,0,1,2,2,0.666666666666667,0.5,NA,NA,NA,NA,2,1,1,1,1,18
"male",59,"sweden",7,0,3,7,1,5,1,1,1,0,0,0,10,7,7,1,1,35,5,5,5,1,1,1,1,1,1,1,1,3,4,1,1,NA,NA,NA,NA,2,1,1,1,1,9
"female",62,"uk",0,0,NA,0,5,5,5,5,5,5,0,10,10,NA,NA,NA,NA,25,4,5,5,1,0,0,0,0,0,0,0,1,0,0.333333333333333,0,NA,NA,NA,NA,2,1,1,1,0,25
"male",61,"uk",3,1,3,7,3,3,3,3,3,7,5,6,6,4,4,4,4,40,2,3,3,1,1,1,1,1,1,0,1,3,3,1,0.75,NA,NA,NA,NA,2,1.1207,1.119,1.1041,0,15
"female",47,"uk",6,1,1,1,5,5,5,5,5,10,10,10,5,1,1,7,7,3,1,3,2,1,1,0,1,0,0,0,0,2,1,0.666666666666667,0.25,NA,NA,NA,NA,2,1,1,1,1,25
"female",45,"germany",2,1,5,3,5,5,5,5,4,6,4,6,8,3,5,4,5,40,3,2,2,1,1,1,1,1,0,0,1,3,2,1,0.5,NA,NA,NA,NA,2,1,1,1,0,24
"male",35,"romania",7,1,3,9,5,3,5,3,5,7,8,NA,7,2,3,6,5,2,2,3,2,1,0,1,0,1,1,1,0,2,3,0.666666666666667,0.75,NA,NA,NA,NA,2,0.6422,0.6473,0.6592,1,21
