"gender","age","nationality","education_ISCED","in_paid_work","religion","ideology_left_right","gen_imm_escape","gen_imm_work","gen_imm_study","gen_imm_family_war","gen_imm_marriage","gen_imm_ess_good_bad","gen_imm_ess_jobs","gen_imm_ess_welfare","gen_imm_ess_safety","imm_anger","imm_fear","imm_hope","imm_sympathy","imm_size","eu_nat_identity","free_move_protect_jobs","free_move_protect_services","part_in_W2","gen_know_switzerland","gen_know_ep","gen_know_party","mig_know_free_move","mig_know_schengen","mig_know_asylum","mig_know_syrians","gen_know_sum","mig_know_sum","gen_know_prop","mig_know_prop","W1_EX1","W1_EX2","W2_EX1","W2_EX2","W2_CC","WEIGHT","WEIGHTEX1","WEIGHTEX2","education_binary","gen_imm_sum"
"female",55,"spain",6,0,6,4,4,4,4,4,4,7,7,6,4,1,1,3,4,16,1,2,2,1,0,0,1,1,0,0,1,1,2,0.333333333333333,0.5,NA,NA,NA,NA,2,1,1,1,1,20
"female",40,"spain",3,1,1,5,NA,NA,4,NA,NA,8,8,5,9,1,1,7,5,20,NA,3,2,1,1,0,1,1,0,0,1,2,2,0.666666666666667,0.5,NA,NA,NA,NA,2,1,1,1,0,NA
"male",47,"sweden",6,1,NA,3,5,4,5,3,3,7,8,5,5,1,1,3,5,10,4,2,4,1,1,1,1,1,1,1,1,3,4,1,1,NA,NA,NA,NA,2,1,1,1,1,20
"male",75,"poland",6,0,2,7,5,4,5,5,5,10,10,10,1,1,1,7,7,3,1,1,1,1,1,1,1,1,0,1,1,3,3,1,0.75,NA,NA,NA,NA,2,1,1,1,1,24
"male",68,"germany",4,0,1,2,4,4,4,3,3,5,7,5,5,2,3,4,4,10,1,1,5,1,1,0,1,1,1,0,1,2,3,0.666666666666667,0.75,NA,NA,NA,NA,2,1.0014,1.0018,0.988,0,18
"female",35,"germany",2,0,1,5,3,3,3,3,2,4,4,5,5,3,4,3,4,80,2,2,2,1,1,1,0,0,0,0,0,3,0,1,0,NA,NA,NA,NA,2,1,1,1,0,14
"female",62,"poland",7,0,2,5,5,4,5,5,5,10,NA,NA,5,1,3,4,5,10,2,2,2,1,1,0,1,1,1,0,0,2,3,0.666666666666667,0.75,NA,NA,NA,NA,2,0.8991,0.8888,0.857,1,24
"male",77,"uk",5,0,2,6,4,5,5,4,3,8,8,8,5,2,2,6,6,3,4,4,4,1,1,1,1,1,1,0,1,3,3,1,0.75,NA,NA,NA,NA,2,1,1,1,0,21
"female",27,"uk",6,1,3,NA,5,4,4,5,5,10,8,10,6,1,1,7,7,20,1,3,3,1,1,0,1,1,1,1,1,2,4,0.666666666666667,1,NA,NA,NA,NA,2,1,1,1,1,23
"male",42,"spain",2,0,66,7,2,4,4,3,5,4,1,1,4,6,6,6,6,9,4,5,4,1,1,0,0,1,0,1,0,2,2,0.666666666666667,0.5,NA,NA,NA,NA,2,0.9261,0.9203,0.9213,0,18
"female",29,"uk",3,0,5,5,5,4,5,5,5,5,7,7,5,1,2,4,4,60,NA,NA,4,1,0,0,1,1,0,0,1,1,2,0.333333333333333,0.5,NA,NA,NA,NA,2,0.9623,0.9711,1.0134,0,24
"male",21,"uk",6,1,3,5,2,3,1,4,2,2,2,5,5,2,3,2,3,40,4,2,3,1,1,1,0,1,0,0,0,3,1,1,0.25,NA,NA,NA,NA,2,1,1,1,1,12
"male",41,"uk",7,1,3,NA,5,5,5,5,5,10,10,10,5,1,1,7,7,25,1,3,3,1,1,0,1,1,1,0,0,2,3,0.666666666666667,0.75,NA,NA,NA,NA,2,1.1342,1.1367,1.1376,1,25
"female",56,"uk",7,1,7,5,5,5,5,5,4,5,5,5,5,5,5,5,5,30,4,4,4,1,1,0,1,1,0,0,1,2,2,0.666666666666667,0.5,NA,NA,NA,NA,2,1,1,1,1,24
"female",35,"germany",6,1,4,5,5,4,5,5,4,8,10,5,6,1,1,1,1,40,4,3,3,1,1,1,1,0,0,0,0,3,1,1,0.25,NA,NA,NA,NA,2,0.9768,0.985,1.0175,1,23
"male",48,"uk",6,1,2,5,5,5,3,5,4,10,7,5,5,1,1,5,5,15,1,1,1,1,1,1,1,1,1,0,0,3,3,1,0.75,NA,NA,NA,NA,2,1.1342,1.1367,1.1376,1,22
"female",59,"uk",3,0,7,3,4,5,4,4,5,6,10,6,6,4,4,6,5,80,1,5,5,1,0,0,1,0,0,0,0,1,1,0.333333333333333,0.25,NA,NA,NA,NA,2,1,1,1,0,22
"male",45,"spain",4,1,1,4,5,5,5,5,5,8,5,4,6,3,4,5,4,15,1,2,2,1,1,1,1,1,1,0,0,3,3,1,0.75,NA,NA,NA,NA,2,1,1,1,0,25
"male",48,"sweden",3,1,NA,5,3,3,3,3,3,0,0,0,10,7,5,1,5,25,3,1,4,1,1,0,1,1,1,0,1,2,3,0.666666666666667,0.75,NA,NA,NA,NA,2,1.0123,1.0093,1.0267,0,15
"male",51,"hungary",3,0,1,0,5,4,5,5,5,9,9,9,0,1,1,5,6,40,1,2,5,1,1,1,1,1,0,0,1,3,2,1,0.5,NA,NA,NA,NA,2,0.8671,0.8714,0.8728,0,24
"female",20,"sweden",3,1,NA,7,3,4,4,4,4,7,7,6,5,6,5,7,4,30,4,4,3,1,0,0,0,0,0,0,0,1,0,0.333333333333333,0,NA,1,NA,NA,2,1.0194,1.0219,1,0,19
"female",23,"germany",6,0,3,5,3,3,4,3,3,8,7,5,5,3,3,NA,NA,50,2,3,3,1,1,0,1,1,1,0,1,2,3,0.666666666666667,0.75,NA,NA,NA,NA,2,1,1,1,1,16
"female",42,"uk",6,1,66,6,4,NA,3,4,3,7,5,4,8,4,3,6,3,35,4,5,5,1,1,0,1,1,0,0,1,2,2,0.666666666666667,0.5,NA,NA,NA,NA,2,1.0313,1.0362,1.0206,1,NA
"female",71,"germany",7,0,3,6,NA,2,4,1,3,6,5,6,7,4,4,3,4,10,1,3,3,1,1,1,1,1,1,0,1,3,3,1,0.75,NA,NA,NA,NA,2,0.9771,0.973,0.9529,1,NA
"female",30,"hungary",3,1,1,5,4,3,5,3,5,3,1,4,5,3,1,1,NA,5,3,3,2,1,1,0,0,1,0,1,1,2,2,0.666666666666667,0.5,NA,NA,NA,NA,2,0.9945,1.0013,1.0213,0,20
"female",68,"uk",3,0,3,5,3,3,3,3,3,10,8,10,10,1,7,7,7,20,5,5,5,1,0,0,1,1,0,0,1,1,2,0.333333333333333,0.5,NA,NA,NA,NA,2,0.9573,0.9584,0.9111,0,15
"female",18,"uk",3,1,1,5,3,4,3,3,3,5,5,5,6,4,4,4,4,45,2,3,3,1,0,0,1,0,0,0,0,1,1,0.333333333333333,0.25,NA,NA,NA,NA,2,1,1,1,0,16
"male",38,"sweden",1,0,NA,7,3,4,4,3,3,6,6,7,6,4,6,5,5,25,4,4,3,1,0,1,1,0,0,1,1,2,2,0.666666666666667,0.5,NA,NA,NA,NA,2,1.0997,1.1317,1.2101,0,17
"female",47,"germany",7,1,7,7,4,4,4,5,4,7,7,7,5,5,5,5,6,33,4,3,4,1,0,0,1,0,1,0,0,1,2,0.333333333333333,0.5,NA,1,NA,NA,2,0.9836,0.9843,1,1,21
"female",51,"germany",4,0,1,4,5,5,5,5,3,8,8,3,7,3,5,5,4,25,1,3,4,1,1,0,1,1,1,0,1,2,3,0.666666666666667,0.75,NA,NA,NA,NA,2,0.9709,0.9655,0.9437,0,23
"female",64,"sweden",8,1,NA,7,4,4,4,4,4,8,9,10,5,1,3,5,6,50,2,5,4,1,1,1,1,1,1,1,1,3,4,1,1,NA,NA,NA,NA,2,0.966,0.9541,0.9164,1,20
"male",55,"sweden",5,0,7,5,5,4,4,5,5,9,8,8,6,1,1,7,7,15,2,2,2,1,1,1,1,1,1,1,1,3,4,1,1,NA,NA,NA,NA,2,1,1,1,0,23
"female",53,"sweden",5,1,4,4,5,4,5,4,5,6,2,4,8,5,7,3,5,50,2,3,3,1,0,0,1,0,0,1,1,1,2,0.333333333333333,0.5,NA,NA,NA,NA,2,1,1,1,0,23
"female",57,"sweden",6,1,4,6,2,3,1,1,5,0,6,0,10,7,6,2,1,21,1,2,5,1,1,1,1,1,0,0,1,3,2,1,0.5,NA,NA,NA,NA,2,0.966,0.9541,0.9164,1,12
"female",45,"sweden",3,0,NA,5,NA,1,3,4,2,3,4,5,7,3,4,3,5,60,4,5,5,1,1,0,1,1,1,0,0,2,3,0.666666666666667,0.75,NA,NA,NA,NA,2,1,1,1,0,NA
"male",22,"germany",4,0,1,3,3,5,5,3,4,3,5,6,10,4,1,2,3,5,3,2,2,1,1,0,1,0,0,0,0,2,1,0.666666666666667,0.25,NA,NA,NA,NA,2,1,1,1,0,20
"male",60,"uk",3,1,7,5,5,5,5,5,5,10,10,0,10,1,1,1,1,30,5,5,5,1,1,1,1,1,1,0,1,3,3,1,0.75,NA,NA,NA,NA,2,1,1,1,0,25
"male",71,"uk",7,0,1,3,5,4,5,5,4,10,10,10,8,1,1,7,7,3,3,1,2,1,1,1,1,1,1,1,0,3,4,1,1,NA,NA,NA,NA,2,1.0528,1.0514,1.0156,1,23
"female",71,"sweden",3,0,NA,0,3,3,3,3,3,9,8,7,8,1,1,6,6,10,3,3,3,1,0,1,1,1,0,0,1,2,2,0.666666666666667,0.5,NA,NA,NA,NA,2,0.9595,0.9311,0.8304,0,15
"male",69,"sweden",6,1,NA,9,5,5,5,5,5,8,9,8,6,1,2,6,6,20,1,2,1,1,1,0,1,1,1,0,1,2,3,0.666666666666667,0.75,NA,NA,NA,NA,2,1.0136,1.0081,0.998,1,25
"male",37,"uk",4,1,7,5,5,5,5,5,5,7,7,6,7,1,1,6,7,9,2,3,3,1,0,0,1,0,0,0,1,1,1,0.333333333333333,0.25,NA,NA,NA,NA,2,1,1,1,0,25
"female",40,"uk",5,0,7,5,NA,NA,NA,NA,NA,NA,NA,7,NA,1,1,6,6,15,2,2,NA,1,0,0,1,0,0,0,1,1,1,0.333333333333333,0.25,NA,NA,NA,NA,2,0.8677,0.8704,0.83,0,NA
"female",39,"uk",6,0,1,3,3,4,4,5,5,8,10,6,6,2,3,5,2,15,2,4,5,1,0,0,1,1,1,0,1,1,3,0.333333333333333,0.75,NA,NA,NA,NA,2,1.0403,1.0452,1.0807,1,21
"male",73,"spain",6,0,1,5,3,4,4,3,4,8,8,8,6,1,4,1,5,5,2,1,2,1,1,0,1,1,1,0,1,2,3,0.666666666666667,0.75,NA,NA,NA,NA,2,1,1,1,1,18
"female",73,"spain",4,0,2,9,3,4,3,4,4,2,5,1,5,5,7,5,4,30,3,1,1,1,0,0,1,0,0,0,0,1,1,0.333333333333333,0.25,NA,NA,NA,NA,2,1,1,1,0,18
"male",77,"spain",4,0,2,10,4,4,5,4,3,5,6,4,5,3,1,6,6,35,1,4,2,1,0,1,1,1,1,1,1,2,4,0.666666666666667,1,NA,NA,NA,NA,2,0.8062,0.8013,0.7907,0,20
"male",78,"spain",6,0,3,9,5,5,4,4,5,9,5,3,2,NA,1,6,4,12,4,3,3,1,1,1,1,1,0,0,1,3,2,1,0.5,NA,NA,NA,NA,2,1.0711,1.0782,1.0547,1,23
"male",57,"spain",7,0,2,2,2,4,4,3,3,5,5,7,8,1,4,5,4,7,3,2,2,1,1,1,1,1,1,1,1,3,4,1,1,NA,NA,NA,NA,2,1.0893,1.0936,1.0673,1,16
"female",48,"spain",4,1,2,8,5,5,5,5,5,10,10,8,8,1,2,6,6,30,3,2,2,1,0,0,1,1,1,0,0,1,3,0.333333333333333,0.75,NA,NA,NA,NA,2,0.9513,0.9437,0.9324,0,25
"male",62,"spain",4,1,2,8,3,3,3,3,3,2,2,5,9,4,5,4,2,20,2,2,3,1,1,1,1,1,1,1,1,3,4,1,1,NA,NA,NA,NA,2,1,1,1,0,15
"female",35,"sweden",6,1,NA,0,3,3,3,3,3,10,5,5,5,1,1,1,1,10,1,1,1,1,0,0,0,0,0,0,0,1,0,0.333333333333333,0,NA,NA,NA,NA,2,0.9122,0.9322,0.9673,1,15
"female",73,"uk",7,0,3,5,4,5,5,3,4,10,10,7,1,2,NA,6,5,20,2,3,4,1,1,0,1,1,0,0,0,2,2,0.666666666666667,0.5,NA,NA,NA,NA,2,1.0268,1.028,0.9963,1,21
"male",63,"germany",3,1,3,9,2,4,4,2,3,6,2,0,10,7,7,1,1,8,4,5,4,1,1,1,1,1,0,1,1,3,3,1,0.75,NA,NA,NA,NA,2,1,1,1,0,15
"female",57,"spain",6,1,1,5,4,1,4,3,3,4,1,6,9,4,6,1,3,10,1,2,3,1,1,1,1,1,1,0,0,3,3,1,0.75,NA,NA,NA,NA,2,0.8797,0.8705,0.8269,1,15
"female",60,"poland",7,0,2,3,5,5,5,5,5,10,10,10,1,1,1,6,6,10,1,1,1,1,1,1,1,1,1,0,1,3,3,1,0.75,NA,NA,NA,NA,2,1,1,1,1,25
"male",48,"spain",6,0,1,4,4,4,4,4,4,NA,NA,8,5,1,1,2,2,20,2,1,2,1,1,1,1,1,1,1,1,3,4,1,1,NA,NA,NA,NA,2,0.9752,0.9689,0.9802,1,20
"female",56,"sweden",5,1,NA,0,5,2,5,5,5,8,5,3,6,1,3,5,6,10,3,5,5,1,1,0,0,1,0,0,1,2,1,0.666666666666667,0.25,NA,NA,NA,NA,2,0.966,0.9541,0.9164,0,22
"female",59,"spain",4,0,2,5,4,4,4,4,4,7,10,8,5,1,1,4,4,14,3,2,3,1,1,1,1,1,1,0,0,3,3,1,0.75,NA,NA,NA,NA,2,1,1,1,0,20
"male",53,"spain",7,1,2,8,2,2,4,2,4,6,6,2,2,2,2,4,3,10,1,3,2,1,1,1,1,1,1,0,1,3,3,1,0.75,NA,NA,NA,NA,2,1.0787,1.0795,1.0732,1,14
"female",59,"spain",5,1,1,0,5,5,5,5,5,10,10,5,5,1,1,6,6,1,1,1,1,1,0,1,1,1,1,0,0,2,3,0.666666666666667,0.75,NA,NA,NA,NA,2,1,1,1,0,25
"male",61,"spain",2,0,2,6,4,4,4,4,4,4,6,6,7,NA,NA,NA,NA,100,4,3,3,1,1,0,1,0,0,0,0,2,1,0.666666666666667,0.25,NA,NA,NA,NA,2,1,1,1,0,20
"male",54,"spain",7,0,1,4,1,4,3,2,4,2,3,2,7,4,4,4,3,10,1,4,4,1,1,0,1,1,1,0,0,2,3,0.666666666666667,0.75,NA,NA,NA,NA,2,0.9261,0.9203,0.9213,1,14
"female",80,"spain",5,0,2,5,3,4,4,4,4,5,5,5,4,2,3,2,3,5,2,2,2,1,1,1,1,1,1,1,1,3,4,1,1,NA,NA,NA,NA,2,1.2,1.2016,1.1513,0,19
"female",75,"spain",4,0,2,4,4,5,5,4,5,10,8,2,6,1,3,5,5,5,1,2,2,1,0,0,1,1,1,0,1,1,3,0.333333333333333,0.75,NA,NA,NA,NA,2,1.2,1.2016,1.1513,0,23
"female",57,"spain",4,1,1,5,3,5,4,4,5,8,6,8,5,3,5,5,4,5,3,3,4,1,0,0,1,0,1,0,0,1,2,0.333333333333333,0.5,NA,NA,NA,NA,2,1.1192,1.1214,1.0801,0,21
"male",48,"spain",5,1,5,0,5,5,5,5,5,10,10,10,1,1,1,7,7,30,1,2,2,1,1,0,1,1,1,1,1,2,4,0.666666666666667,1,NA,NA,NA,NA,2,0.9289,0.9317,0.941,0,25
"female",53,"spain",5,1,1,5,4,4,4,4,4,8,7,10,5,1,1,6,6,15,3,1,1,1,1,0,1,1,1,0,0,2,3,0.666666666666667,0.75,NA,NA,NA,NA,2,0.9513,0.9437,0.9324,0,20
"male",32,"spain",3,1,5,5,3,3,3,3,3,5,5,5,5,5,4,5,4,25,3,3,3,1,0,0,0,0,0,1,1,1,1,0.333333333333333,0.25,NA,1,NA,NA,2,1.027,1.0242,1,0,15
"female",55,"spain",6,1,2,6,5,5,4,5,5,10,9,NA,10,1,3,7,7,90,3,3,1,1,1,0,1,1,1,0,0,2,3,0.666666666666667,0.75,NA,NA,NA,NA,2,0.8797,0.8705,0.8269,1,24
"male",61,"spain",6,1,1,5,5,5,5,5,5,10,6,5,8,1,1,6,5,15,1,2,2,1,1,1,1,1,1,0,0,3,3,1,0.75,NA,NA,NA,NA,2,0.9204,0.912,0.8972,1,25
"male",32,"sweden",3,NA,NA,6,3,3,4,3,3,6,6,7,6,4,3,5,6,20,5,4,4,1,0,0,0,0,0,0,0,1,0,0.333333333333333,0,NA,NA,NA,NA,2,1.0136,1.0418,1.1615,0,16
"male",32,"sweden",2,1,5,9,4,4,4,4,4,8,6,6,8,5,5,6,6,80,4,4,4,1,1,0,0,0,0,0,1,2,0,0.666666666666667,0,NA,NA,NA,NA,2,1.0136,1.0418,1.1615,0,20
"female",51,"uk",6,1,5,5,4,4,4,4,4,5,3,3,10,5,5,4,4,70,5,5,5,1,1,0,1,1,0,0,0,2,2,0.666666666666667,0.5,NA,NA,NA,NA,2,1.0313,1.0362,1.0206,1,20
"female",69,"uk",3,0,3,5,3,3,3,3,2,NA,0,0,7,5,1,4,NA,70,4,5,5,1,0,0,1,0,0,0,0,1,1,0.333333333333333,0.25,NA,NA,NA,NA,2,1,1,1,0,14
"female",58,"poland",4,0,5,5,4,4,4,4,4,5,0,0,10,6,7,1,3,0,1,4,4,1,0,0,1,0,0,0,0,1,1,0.333333333333333,0.25,NA,NA,NA,NA,2,1,1,1,0,20
"male",27,"sweden",4,1,NA,6,3,3,3,3,3,5,7,6,7,2,2,4,5,40,4,3,3,1,1,0,1,0,0,0,0,2,1,0.666666666666667,0.25,NA,NA,NA,NA,2,1,1,1,0,15
"female",59,"sweden",2,1,NA,5,2,4,1,3,3,0,0,0,10,6,5,1,3,60,5,NA,5,1,0,0,1,1,1,0,1,1,3,0.333333333333333,0.75,NA,NA,NA,NA,2,1,1,1,0,13
"female",48,"germany",3,1,1,3,2,4,2,2,2,3,3,2,6,4,4,3,3,20,3,3,3,1,1,0,1,0,0,0,0,2,1,0.666666666666667,0.25,NA,NA,NA,NA,2,1,1,1,0,12
"male",52,"uk",3,0,5,4,4,4,4,4,3,8,6,5,NA,1,2,5,5,20,2,3,4,1,0,0,1,1,1,0,0,1,3,0.333333333333333,0.75,NA,NA,NA,NA,2,1,1,1,0,19
"female",66,"spain",1,0,2,5,3,3,4,3,4,2,0,1,8,4,4,4,4,15,2,4,4,1,1,1,1,1,0,0,0,3,2,1,0.5,NA,NA,NA,NA,2,1,1,1,0,17
"female",40,"uk",6,1,1,2,4,5,4,4,4,8,7,NA,5,1,2,4,5,30,4,4,4,1,1,0,1,1,0,0,0,2,2,0.666666666666667,0.5,NA,NA,NA,NA,2,1,1,1,1,21
"female",59,"hungary",3,0,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,2,NA,NA,1,0,0,1,1,1,0,0,1,3,0.333333333333333,0.75,NA,NA,NA,NA,2,1,1,1,0,NA
"female",23,"uk",6,1,1,0,4,4,4,4,4,8,7,10,4,3,3,3,5,20,2,1,1,1,0,0,1,0,0,0,0,1,1,0.333333333333333,0.25,NA,NA,NA,NA,2,1,1,1,1,20
"female",49,"uk",2,1,NA,5,3,3,3,3,3,4,4,3,5,NA,NA,NA,NA,25,3,NA,NA,1,0,0,0,0,0,0,0,1,0,0.333333333333333,0,NA,NA,1,NA,2,1,1,1,0,15
"female",24,"uk",6,1,1,5,5,5,5,5,5,5,5,5,5,NA,NA,NA,NA,40,1,NA,NA,1,0,0,0,1,0,1,1,1,2,0.333333333333333,0.5,NA,NA,NA,NA,2,1,1,1,1,25
"female",67,"uk",2,0,2,10,1,1,2,1,1,0,0,0,10,7,1,1,1,38,5,5,5,1,0,1,1,1,0,0,0,2,2,0.666666666666667,0.5,NA,NA,NA,NA,2,1,1,1,0,6
"male",36,"sweden",5,1,NA,1,5,5,5,5,5,10,10,10,0,1,1,7,7,10,1,1,4,1,0,0,1,0,0,1,1,1,2,0.333333333333333,0.5,NA,NA,NA,NA,2,1,1,1,0,25
"male",48,"germany",6,1,3,3,1,4,4,1,4,0,1,0,10,7,1,1,1,10,5,2,2,1,1,1,1,0,1,0,1,3,2,1,0.5,NA,NA,NA,NA,2,1,1,1,1,14
"male",43,"hungary",3,1,1,2,5,3,5,5,4,10,10,10,3,1,1,7,7,10,1,1,1,1,1,0,1,1,1,1,1,2,4,0.666666666666667,1,NA,NA,NA,NA,2,1,1,1,0,22
"male",45,"romania",4,0,4,10,5,5,5,5,5,10,10,10,7,7,7,7,7,40,1,1,1,1,0,0,1,1,1,0,1,1,3,0.333333333333333,0.75,NA,NA,NA,NA,2,1,1,1,0,25
"female",47,"poland",7,1,2,5,5,5,5,5,5,10,10,10,0,1,1,7,7,0,1,1,1,1,1,1,1,1,1,0,0,3,3,1,0.75,NA,NA,NA,NA,2,1,1,1,1,25
"male",50,"germany",6,1,1,5,5,4,5,5,4,4,5,1,10,4,4,4,4,24,3,3,3,1,0,0,1,1,1,1,1,1,4,0.333333333333333,1,NA,NA,NA,NA,2,1,1,1,1,23
"male",54,"sweden",6,1,3,8,1,5,1,1,2,2,3,1,10,2,5,1,2,12,5,5,5,1,1,1,1,1,0,0,0,3,2,1,0.5,NA,NA,NA,NA,2,1,1,1,1,10
"male",65,"poland",7,0,1,4,5,5,5,5,4,10,8,10,3,1,1,7,7,1,1,1,1,1,1,1,0,1,1,0,1,3,2,1,0.5,NA,NA,NA,NA,2,1,1,1,1,24
"female",62,"poland",7,1,1,5,5,5,5,5,5,9,10,10,NA,1,1,6,5,2,1,2,1,1,1,0,1,1,1,1,1,2,4,0.666666666666667,1,NA,NA,NA,NA,2,1,1,1,1,25
"male",43,"uk",7,1,2,3,4,4,4,4,4,10,10,10,3,1,1,6,7,10,5,4,4,1,1,0,1,1,0,0,1,2,2,0.666666666666667,0.5,NA,NA,NA,NA,2,1,1,1,1,20
"female",37,"germany",4,1,1,5,4,4,5,5,5,5,7,8,10,7,7,7,7,20,5,5,4,1,1,1,1,1,1,0,0,3,3,1,0.75,NA,NA,NA,NA,2,1,1,1,0,23
"female",73,"spain",8,1,2,7,5,5,5,5,5,8,9,5,4,3,3,6,5,10,2,3,4,1,0,1,1,1,0,1,0,2,3,0.666666666666667,0.75,NA,NA,NA,NA,2,1,1,1,1,25
