age,gender,education,party,income,cc_worried,cc_climate_changing,cc_causes,cc_scientists_agree,cc_emotion_hope,cc_emotion_fear,cc_increase_taxes,cc_subs_renewable,cc_spend_to_protect,cc_help_dev_countries,cc_environment_british,cc_moral_concern,country,epcc_data$education_uk,education_fr,education_no,education_ge,survey_wt,knowledge,knowledge_binary
25-34,male,degree,cons,25000plus,4,1,0,0,4,3,2,4,3,3,2,4,2,NA,degree,NA,NA,1.3289,-0.49018722391434655,0
65plus,female,no_qual,no_party,9500_17499,4,1,0,0,2,4,3,4,5,3,4,4,2,NA,no_qual,NA,NA,1.4025,-0.49018722391434655,0
15-24,male,alevel,lib_dem,9500_17499,3,1,1,1,2,2,5,4,4,4,3,2,2,NA,alevel,NA,NA,1.1306,0.9984553862772432,1
35-44,male,degree,no_party,25000plus,5,1,1,0,2,1,5,5,2,4,1,3,2,NA,degree,NA,NA,1.2469,0.3531676391989697,0
15-24,female,no_qual,labour,9500_17499,2,1,1,0,3,2,1,3,5,5,1,1,2,NA,no_qual,NA,NA,1.2231,0.3531676391989697,0
25-34,male,degree,no_party,25000plus,4,1,0,0,2,3,2,5,4,3,3,3,2,NA,degree,NA,NA,1.3583,-0.49018722391434655,0
15-24,female,no_qual,labour,up_to_9499,2,0,0,1,1,3,4,5,5,5,4,3,2,NA,no_qual,NA,NA,1.2231,-0.6471937120438093,0
25-34,female,gcse,lib_dem,17500_24999,3,1,1,0,3,4,4,5,4,4,4,3,2,NA,gcse,NA,NA,1.0388,0.3531676391989697,0
15-24,female,gcse,labour,up_to_9499,3,1,0,0,2,2,3,5,4,4,3,3,2,NA,gcse,NA,NA,1.2231,-0.49018722391434655,0
25-34,female,gcse,lib_dem,25000plus,3,1,1,0,3,4,4,5,5,4,4,4,2,NA,gcse,NA,NA,0.7826,0.3531676391989697,0
45-54,female,alevel,labour,17500_24999,5,1,0,0,4,2,3,4,5,5,5,5,2,NA,alevel,NA,NA,0.7267,-0.49018722391434655,0
45-54,female,degree,no_party,25000plus,5,1,1,0,2,4,5,5,2,5,3,4,2,NA,degree,NA,NA,0.973,0.3531676391989697,0
45-54,male,degree,cons,25000plus,4,1,1,0,2,3,2,5,4,2,2,4,2,NA,degree,NA,NA,1.3214,0.3531676391989697,0
25-34,female,gcse,no_party,9500_17499,2,0,0,0,2,2,3,1,3,3,2,1,2,NA,gcse,NA,NA,0.7826,-1.2965482561310893,0
65plus,female,degree,no_party,25000plus,3,0,0,0,2,3,4,5,5,5,3,4,2,NA,degree,NA,NA,1.4025,-1.2965482561310893,0
55-64,female,degree,lib_dem,9500_17499,4,1,1,0,3,3,4,4,4,3,3,3,2,NA,degree,NA,NA,0.973,0.3531676391989697,0
25-34,male,alevel,other,9500_17499,1,0,0,0,2,3,3,2,1,2,4,2,2,NA,alevel,NA,NA,1.0233,-1.2965482561310893,0
35-44,male,gcse,no_party,25000plus,2,0,0,0,4,2,1,3,2,1,4,2,2,NA,gcse,NA,NA,0.9602,-1.2965482561310893,0
25-34,male,gcse,labour,25000plus,1,1,0,0,2,1,1,4,2,1,3,1,2,NA,gcse,NA,NA,1.0233,-0.49018722391434655,0
15-24,female,gcse,no_party,25000plus,3,1,0,1,2,2,2,1,4,1,5,3,2,NA,gcse,NA,NA,1.5252,0.12751998108451623,0
25-34,male,degree,other,up_to_9499,3,1,1,0,4,2,4,5,5,1,1,1,2,NA,degree,NA,NA,1.3289,0.3531676391989697,0
25-34,female,degree,no_party,17500_24999,4,1,0,0,5,2,3,3,2,3,3,5,2,NA,degree,NA,NA,1.0388,-0.49018722391434655,0
65plus,female,degree,other,25000plus,4,1,1,0,1,3,4,4,5,4,1,2,2,NA,degree,NA,NA,1.4025,0.3531676391989697,0
55-64,female,degree,labour,17500_24999,4,1,1,0,2,2,2,3,4,4,3,4,2,NA,degree,NA,NA,0.9945,0.3531676391989697,0
55-64,female,degree,no_party,25000plus,2,0,1,0,4,2,2,4,3,1,4,4,2,NA,degree,NA,NA,0.9344,-0.4187727315479352,0
55-64,female,alevel,cons,17500_24999,3,1,1,0,7,2,2,4,4,2,3,2,2,NA,alevel,NA,NA,1.249,0.3531676391989697,0
55-64,female,gcse,other,25000plus,3,1,0,1,4,2,4,3,4,3,4,4,2,NA,gcse,NA,NA,0.9945,0.12751998108451623,0
65plus,female,degree,other,25000plus,3,1,1,0,3,2,4,4,5,4,3,4,2,NA,degree,NA,NA,1.249,0.3531676391989697,0
15-24,female,gcse,other,17500_24999,3,1,1,0,1,4,4,1,1,5,1,1,2,NA,gcse,NA,NA,3.5755,0.3531676391989697,0
15-24,female,gcse,no_party,9500_17499,3,1,1,0,1,1,5,4,1,4,1,1,2,NA,gcse,NA,NA,1.7176,0.3531676391989697,0
25-34,female,gcse,no_party,9500_17499,4,1,1,1,2,4,1,5,3,5,5,4,2,NA,gcse,NA,NA,0.7591,0.9984553862772432,1
65plus,male,gcse,no_party,9500_17499,4,1,1,0,3,4,4,5,5,3,4,5,2,NA,gcse,NA,NA,1.0465,0.3531676391989697,0
55-64,male,degree,no_party,17500_24999,3,1,1,0,3,2,3,5,4,5,5,4,2,NA,degree,NA,NA,0.6423,0.3531676391989697,0
55-64,male,gcse,no_party,up_to_9499,2,0,0,0,1,1,5,5,5,5,5,3,2,NA,gcse,NA,NA,1.3214,-1.2965482561310893,0
55-64,male,degree,no_party,25000plus,3,1,0,0,3,1,5,3,3,3,3,3,2,NA,degree,NA,NA,1.3214,-0.49018722391434655,0
