age,gender,education,party,income,cc_worried,cc_climate_changing,cc_causes,cc_scientists_agree,cc_emotion_hope,cc_emotion_fear,cc_increase_taxes,cc_subs_renewable,cc_spend_to_protect,cc_help_dev_countries,cc_environment_british,cc_moral_concern,country,epcc_data$education_uk,education_fr,education_no,education_ge,survey_wt,knowledge,knowledge_binary
35-44,male,gcse,cons,25000plus,2,0,0,0,3,2,4,3,3,2,4,1,3,NA,NA,NA,gcse,0.99,-1.2965482561310893,0
65plus,male,gcse,lib_dem,25000plus,2,0,0,0,3,2,1,3,3,4,3,3,3,NA,NA,NA,gcse,0.9,-1.2965482561310893,0
45-54,female,gcse,labour,up_to_9499,3,1,1,1,4,2,3,4,3,4,3,3,3,NA,NA,NA,gcse,0.49,0.9984553862772432,1
15-24,male,gcse,labour,9500_17499,1,1,1,0,1,3,4,4,3,3,2,2,3,NA,NA,NA,gcse,0.92,0.3531676391989697,0
15-24,female,gcse,cons,9500_17499,4,1,1,1,3,4,4,5,5,5,3,3,3,NA,NA,NA,gcse,1.51,0.9984553862772432,1
65plus,female,gcse,cons,25000plus,2,0,0,0,1,1,2,5,5,3,3,1,3,NA,NA,NA,gcse,1.22,-1.2965482561310893,0
55-64,male,gcse,labour,up_to_9499,2,1,1,0,2,4,3,2,4,5,2,4,3,NA,NA,NA,gcse,1.01,0.3531676391989697,0
35-44,female,gcse,no_party,9500_17499,1,0,0,0,1,1,1,5,5,3,3,1,3,NA,NA,NA,gcse,1.1,-1.2965482561310893,0
35-44,female,gcse,no_party,9500_17499,3,1,1,0,2,1,3,5,5,4,1,3,3,NA,NA,NA,gcse,0.94,0.3531676391989697,0
65plus,male,gcse,other,up_to_9499,1,1,1,0,2,3,4,4,4,3,4,2,3,NA,NA,NA,gcse,1.12,0.3531676391989697,0
35-44,male,alevel,labour,17500_24999,3,1,0,0,3,2,3,3,3,4,3,3,3,NA,NA,NA,alevel,1.02,-0.49018722391434655,0
25-34,female,gcse,cons,up_to_9499,3,1,0,0,3,3,3,3,3,2,4,3,3,NA,NA,NA,gcse,1.09,-0.49018722391434655,0
45-54,male,gcse,cons,25000plus,2,1,0,1,3,4,3,4,3,1,3,4,3,NA,NA,NA,gcse,0.53,0.12751998108451623,0
25-34,female,alevel,no_party,25000plus,3,1,1,0,3,2,4,2,4,5,3,4,3,NA,NA,NA,alevel,0.83,0.3531676391989697,0
65plus,female,no_qual,no_party,up_to_9499,3,1,1,0,2,1,2,5,4,4,2,2,3,NA,NA,NA,no_qual,0.49,0.3531676391989697,0
55-64,male,gcse,labour,17500_24999,3,1,0,0,3,2,2,4,4,1,4,3,3,NA,NA,NA,gcse,0.67,-0.49018722391434655,0
55-64,male,gcse,labour,25000plus,3,1,0,1,3,2,1,5,5,3,5,2,3,NA,NA,NA,gcse,1.01,0.12751998108451623,0
15-24,female,alevel,no_party,9500_17499,2,1,1,0,1,2,2,5,4,5,3,2,3,NA,NA,NA,alevel,2.02,0.3531676391989697,0
25-34,female,gcse,other,25000plus,3,1,1,1,5,1,2,4,3,5,2,1,3,NA,NA,NA,gcse,0.87,0.9984553862772432,1
65plus,female,gcse,other,9500_17499,3,1,0,0,3,1,1,4,3,4,3,3,3,NA,NA,NA,gcse,1.22,-0.49018722391434655,0
45-54,male,gcse,other,25000plus,3,1,1,1,4,2,2,4,5,2,4,1,3,NA,NA,NA,gcse,0.96,0.9984553862772432,1
35-44,male,gcse,no_party,9500_17499,4,1,1,1,1,3,3,5,5,5,2,4,3,NA,NA,NA,gcse,1.78,0.9984553862772432,1
65plus,male,gcse,cons,9500_17499,2,0,0,0,5,1,1,2,1,1,4,2,3,NA,NA,NA,gcse,0.57,-1.2965482561310893,0
25-34,female,gcse,other,17500_24999,5,1,1,0,3,4,4,5,5,5,5,5,3,NA,NA,NA,gcse,0.93,0.3531676391989697,0
45-54,female,gcse,lib_dem,up_to_9499,3,1,1,1,2,4,2,3,4,3,3,2,3,NA,NA,NA,gcse,0.48,0.9984553862772432,1
15-24,female,alevel,cons,up_to_9499,2,0,0,0,3,2,1,1,1,1,2,1,3,NA,NA,NA,alevel,1.09,-1.2965482561310893,0
55-64,female,gcse,labour,17500_24999,3,1,0,1,2,3,4,4,4,3,4,3,3,NA,NA,NA,gcse,1.2,0.12751998108451623,0
25-34,male,alevel,other,up_to_9499,3,1,1,0,3,3,4,3,2,3,2,3,3,NA,NA,NA,alevel,1.46,0.3531676391989697,0
65plus,male,gcse,cons,25000plus,3,1,1,0,2,1,4,2,1,2,2,2,3,NA,NA,NA,gcse,1.37,0.3531676391989697,0
15-24,male,gcse,labour,up_to_9499,1,0,0,0,5,1,2,3,3,1,2,3,3,NA,NA,NA,gcse,0.98,-1.2965482561310893,0
35-44,female,gcse,labour,9500_17499,2,1,1,0,2,3,2,5,4,5,4,3,3,NA,NA,NA,gcse,0.68,0.3531676391989697,0
15-24,male,gcse,cons,17500_24999,1,0,0,0,1,1,1,3,2,1,3,1,3,NA,NA,NA,gcse,0.99,-1.2965482561310893,0
65plus,female,gcse,other,9500_17499,1,0,0,0,3,1,4,3,3,4,4,2,3,NA,NA,NA,gcse,1.2,-1.2965482561310893,0
65plus,female,gcse,cons,17500_24999,3,1,0,0,2,2,3,3,4,2,4,3,3,NA,NA,NA,gcse,0.74,-0.49018722391434655,0
35-44,male,degree,no_party,17500_24999,3,1,1,0,2,4,4,4,5,4,2,2,3,NA,NA,NA,degree,0.95,0.3531676391989697,0
45-54,male,gcse,cons,25000plus,2,1,0,1,2,3,2,3,4,2,3,4,3,NA,NA,NA,gcse,0.8,0.12751998108451623,0
55-64,male,gcse,lib_dem,25000plus,2,1,1,0,5,1,1,5,2,2,2,3,3,NA,NA,NA,gcse,0.57,0.3531676391989697,0
35-44,female,alevel,cons,25000plus,2,1,1,1,2,2,1,2,1,1,5,3,3,NA,NA,NA,alevel,0.78,0.9984553862772432,1
45-54,female,gcse,cons,25000plus,3,1,1,1,4,4,2,3,4,5,3,2,3,NA,NA,NA,gcse,1.5,0.9984553862772432,1
65plus,male,gcse,no_party,9500_17499,2,1,1,0,2,2,2,4,4,3,3,4,3,NA,NA,NA,gcse,0.4,0.3531676391989697,0
35-44,female,gcse,other,25000plus,1,1,1,1,1,2,2,4,4,4,2,2,3,NA,NA,NA,gcse,0.52,0.9984553862772432,1
25-34,male,gcse,labour,up_to_9499,1,0,0,0,4,1,1,2,1,1,2,3,3,NA,NA,NA,gcse,1,-1.2965482561310893,0
15-24,female,degree,no_party,25000plus,3,1,0,1,2,1,1,4,4,5,5,4,3,NA,NA,NA,degree,0.34,0.12751998108451623,0
55-64,female,gcse,lib_dem,9500_17499,3,1,0,0,2,5,3,3,4,5,4,4,3,NA,NA,NA,gcse,0.7,-0.49018722391434655,0
65plus,male,gcse,cons,9500_17499,2,1,1,1,4,2,4,4,5,3,2,3,3,NA,NA,NA,gcse,0.64,0.9984553862772432,1
35-44,male,gcse,cons,9500_17499,4,1,1,0,4,2,1,1,2,2,3,1,3,NA,NA,NA,gcse,0.7,0.3531676391989697,0
65plus,female,gcse,labour,up_to_9499,5,1,0,0,3,1,1,2,1,1,3,2,3,NA,NA,NA,gcse,0.43,-0.49018722391434655,0
45-54,female,gcse,no_party,9500_17499,3,1,1,1,1,2,2,5,4,4,4,4,3,NA,NA,NA,gcse,0.57,0.9984553862772432,1
45-54,male,alevel,other,25000plus,4,1,1,1,4,2,2,5,5,4,4,5,3,NA,NA,NA,alevel,0.66,0.9984553862772432,1
55-64,male,gcse,no_party,9500_17499,3,1,1,0,2,5,3,4,4,3,3,2,3,NA,NA,NA,gcse,0.88,0.3531676391989697,0
65plus,female,gcse,labour,up_to_9499,5,0,0,0,2,5,4,4,4,4,2,3,3,NA,NA,NA,gcse,0.86,-1.2965482561310893,0
35-44,female,gcse,labour,9500_17499,4,1,1,0,3,4,3,4,4,3,4,1,3,NA,NA,NA,gcse,0.49,0.3531676391989697,0
25-34,male,gcse,no_party,17500_24999,4,1,1,1,3,3,2,4,4,1,4,3,3,NA,NA,NA,gcse,1.24,0.9984553862772432,1
45-54,male,gcse,no_party,17500_24999,5,1,0,0,3,5,3,5,5,3,3,3,3,NA,NA,NA,gcse,0.64,-0.49018722391434655,0
65plus,male,gcse,labour,17500_24999,5,1,1,0,3,3,3,5,5,3,3,2,3,NA,NA,NA,gcse,0.79,0.3531676391989697,0
25-34,female,alevel,other,25000plus,5,1,0,0,3,5,4,4,5,4,4,3,3,NA,NA,NA,alevel,0.95,-0.49018722391434655,0
15-24,male,gcse,cons,25000plus,2,1,0,0,4,3,3,5,5,1,3,2,3,NA,NA,NA,gcse,1.81,-0.49018722391434655,0
35-44,male,gcse,labour,9500_17499,3,1,0,0,1,4,2,4,4,3,4,2,3,NA,NA,NA,gcse,1.15,-0.49018722391434655,0
45-54,female,gcse,cons,25000plus,3,1,0,0,4,3,1,5,4,4,3,1,3,NA,NA,NA,gcse,0.64,-0.49018722391434655,0
65plus,female,gcse,cons,25000plus,3,1,0,0,3,2,2,5,4,3,4,1,3,NA,NA,NA,gcse,1.14,-0.49018722391434655,0
45-54,female,gcse,no_party,25000plus,3,1,1,0,4,2,2,4,2,2,4,3,3,NA,NA,NA,gcse,1.47,0.3531676391989697,0
15-24,male,alevel,other,up_to_9499,2,0,0,0,3,1,2,4,4,3,3,2,3,NA,NA,NA,alevel,1.93,-1.2965482561310893,0
55-64,male,gcse,other,25000plus,2,1,0,1,4,2,3,3,4,3,4,2,3,NA,NA,NA,gcse,0.77,0.12751998108451623,0
35-44,female,gcse,labour,9500_17499,2,1,1,0,4,3,4,4,4,3,2,1,3,NA,NA,NA,gcse,0.83,0.3531676391989697,0
25-34,male,gcse,labour,up_to_9499,1,0,0,0,3,2,3,4,2,2,2,4,3,NA,NA,NA,gcse,1.33,-1.2965482561310893,0
45-54,male,gcse,no_party,9500_17499,2,1,0,0,3,3,4,2,3,3,2,2,3,NA,NA,NA,gcse,0.85,-0.49018722391434655,0
65plus,female,gcse,labour,9500_17499,5,1,1,1,4,4,2,3,2,1,4,5,3,NA,NA,NA,gcse,0.71,0.9984553862772432,1
65plus,female,gcse,labour,up_to_9499,2,1,1,0,5,2,4,5,4,5,2,3,3,NA,NA,NA,gcse,1.42,0.3531676391989697,0
25-34,female,gcse,cons,17500_24999,2,1,1,1,2,2,1,4,4,3,4,4,3,NA,NA,NA,gcse,0.79,0.9984553862772432,1
35-44,male,gcse,cons,up_to_9499,2,1,1,1,4,3,1,4,4,2,3,2,3,NA,NA,NA,gcse,1.51,0.9984553862772432,1
55-64,female,gcse,cons,25000plus,4,1,0,0,2,5,4,4,4,4,5,5,3,NA,NA,NA,gcse,0.87,-0.49018722391434655,0
15-24,male,gcse,labour,25000plus,2,1,0,0,3,2,1,4,4,5,5,2,3,NA,NA,NA,gcse,1.07,-0.49018722391434655,0
35-44,male,gcse,no_party,9500_17499,2,1,1,0,4,2,2,4,5,4,3,3,3,NA,NA,NA,gcse,1.19,0.3531676391989697,0
65plus,female,no_qual,labour,up_to_9499,4,1,0,0,1,3,3,5,5,5,4,3,3,NA,NA,NA,no_qual,1.14,-0.49018722391434655,0
15-24,female,gcse,labour,up_to_9499,4,1,1,1,2,3,3,3,4,3,4,4,3,NA,NA,NA,gcse,1.01,0.9984553862772432,1
45-54,male,gcse,no_party,up_to_9499,5,1,1,1,3,4,4,3,5,5,4,5,3,NA,NA,NA,gcse,0.76,0.9984553862772432,1
35-44,male,gcse,labour,17500_24999,3,1,1,0,3,3,3,3,4,4,2,4,3,NA,NA,NA,gcse,1.51,0.3531676391989697,0
65plus,male,gcse,labour,17500_24999,2,0,1,1,3,2,2,3,3,2,1,1,3,NA,NA,NA,gcse,1.31,0.1981733788271143,0
35-44,female,gcse,labour,17500_24999,2,1,1,0,3,4,3,4,5,2,3,2,3,NA,NA,NA,gcse,1.28,0.3531676391989697,0
65plus,male,gcse,labour,up_to_9499,3,1,1,0,2,2,4,5,4,4,2,4,3,NA,NA,NA,gcse,0.53,0.3531676391989697,0
35-44,female,gcse,no_party,25000plus,5,1,1,0,3,4,2,4,4,5,5,4,3,NA,NA,NA,gcse,0.85,0.3531676391989697,0
55-64,male,alevel,lib_dem,9500_17499,3,1,1,1,2,1,1,4,4,5,2,4,3,NA,NA,NA,alevel,0.77,0.9984553862772432,1
25-34,male,gcse,lib_dem,25000plus,2,1,0,1,1,2,1,1,2,3,2,1,3,NA,NA,NA,gcse,1.33,0.12751998108451623,0
65plus,female,gcse,labour,25000plus,4,1,0,0,4,3,3,2,2,4,4,3,3,NA,NA,NA,gcse,1.42,-0.49018722391434655,0
45-54,female,gcse,no_party,25000plus,3,1,0,1,3,3,2,3,2,4,3,4,3,NA,NA,NA,gcse,0.57,0.12751998108451623,0
15-24,female,gcse,labour,17500_24999,3,1,0,0,3,3,4,2,2,3,3,2,3,NA,NA,NA,gcse,0.68,-0.49018722391434655,0
65plus,male,gcse,lib_dem,up_to_9499,2,1,1,0,3,2,4,2,4,3,3,3,3,NA,NA,NA,gcse,1.43,0.3531676391989697,0
25-34,female,gcse,labour,9500_17499,4,1,0,0,3,3,3,3,2,3,2,4,3,NA,NA,NA,gcse,1.39,-0.49018722391434655,0
35-44,male,gcse,lib_dem,up_to_9499,3,1,1,0,3,4,4,3,4,3,3,4,3,NA,NA,NA,gcse,1.71,0.3531676391989697,0
15-24,female,alevel,labour,25000plus,1,0,0,0,3,2,1,2,2,2,3,2,3,NA,NA,NA,alevel,1.14,-1.2965482561310893,0
45-54,male,gcse,other,up_to_9499,2,1,0,0,3,3,2,2,3,2,2,3,3,NA,NA,NA,gcse,0.84,-0.49018722391434655,0
65plus,male,gcse,other,9500_17499,3,1,1,0,5,2,2,5,3,4,5,2,3,NA,NA,NA,gcse,1.43,0.3531676391989697,0
45-54,female,gcse,labour,17500_24999,3,1,1,0,3,1,1,5,3,3,3,1,3,NA,NA,NA,gcse,1.62,0.3531676391989697,0
25-34,male,gcse,cons,25000plus,2,1,0,0,3,2,3,2,2,2,3,4,3,NA,NA,NA,gcse,1.78,-0.49018722391434655,0
65plus,female,gcse,other,up_to_9499,3,1,1,1,3,3,3,4,3,2,4,3,3,NA,NA,NA,gcse,0.63,0.9984553862772432,1
25-34,female,alevel,labour,25000plus,3,1,1,0,4,3,4,2,4,3,4,3,3,NA,NA,NA,alevel,1.38,0.3531676391989697,0
35-44,female,gcse,labour,9500_17499,2,1,1,0,1,3,2,4,4,5,2,3,3,NA,NA,NA,gcse,0.55,0.3531676391989697,0
65plus,female,gcse,cons,up_to_9499,3,1,1,0,3,3,4,4,5,5,4,4,3,NA,NA,NA,gcse,0.6,0.3531676391989697,0
55-64,female,gcse,cons,17500_24999,4,1,1,0,2,1,5,3,4,5,4,3,3,NA,NA,NA,gcse,0.64,0.3531676391989697,0
45-54,female,alevel,cons,17500_24999,3,1,0,0,3,2,2,4,4,3,3,4,3,NA,NA,NA,alevel,1.35,-0.49018722391434655,0
35-44,male,gcse,cons,25000plus,3,1,1,1,1,2,1,5,5,4,4,1,3,NA,NA,NA,gcse,0.8,0.9984553862772432,1
15-24,male,gcse,labour,9500_17499,1,1,0,1,3,4,3,4,2,2,2,1,3,NA,NA,NA,gcse,3.3,0.12751998108451623,0
35-44,male,gcse,labour,25000plus,3,1,1,1,4,3,4,1,4,5,4,3,3,NA,NA,NA,gcse,0.6,0.9984553862772432,1
55-64,male,alevel,no_party,25000plus,3,1,1,0,3,2,2,2,2,2,3,4,3,NA,NA,NA,alevel,1,0.3531676391989697,0
35-44,female,gcse,cons,9500_17499,3,1,1,1,4,2,3,3,4,4,4,2,3,NA,NA,NA,gcse,0.9,0.9984553862772432,1
65plus,female,gcse,labour,25000plus,3,1,0,0,3,2,2,4,2,3,4,2,3,NA,NA,NA,gcse,1.21,-0.49018722391434655,0
65plus,male,gcse,no_party,9500_17499,3,1,0,0,4,3,3,4,4,2,3,3,3,NA,NA,NA,gcse,0.61,-0.49018722391434655,0
35-44,male,gcse,no_party,9500_17499,2,1,1,0,3,4,3,3,4,4,2,3,3,NA,NA,NA,gcse,1.76,0.3531676391989697,0
25-34,male,gcse,no_party,25000plus,1,1,0,0,1,1,1,3,4,5,4,1,3,NA,NA,NA,gcse,1.13,-0.49018722391434655,0
35-44,female,gcse,cons,25000plus,3,1,0,0,1,2,2,5,4,3,3,1,3,NA,NA,NA,gcse,0.72,-0.49018722391434655,0
65plus,female,gcse,labour,17500_24999,3,1,1,0,2,3,4,5,3,5,2,2,3,NA,NA,NA,gcse,0.97,0.3531676391989697,0
45-54,male,gcse,other,25000plus,2,1,0,0,2,3,2,4,3,3,3,3,3,NA,NA,NA,gcse,0.72,-0.49018722391434655,0
15-24,male,alevel,no_party,9500_17499,1,0,0,0,3,1,1,2,2,2,3,1,3,NA,NA,NA,alevel,0.91,-1.2965482561310893,0
25-34,female,gcse,no_party,9500_17499,3,1,1,0,1,2,2,4,4,3,5,1,3,NA,NA,NA,gcse,0.67,0.3531676391989697,0
65plus,male,gcse,labour,25000plus,3,1,0,0,2,1,2,4,5,4,2,2,3,NA,NA,NA,gcse,1.11,-0.49018722391434655,0
15-24,female,alevel,labour,25000plus,2,1,1,0,2,3,4,3,4,5,2,2,3,NA,NA,NA,alevel,1.49,0.3531676391989697,0
55-64,female,gcse,other,9500_17499,3,1,1,1,3,5,4,5,4,5,4,3,3,NA,NA,NA,gcse,0.78,0.9984553862772432,1
65plus,male,alevel,no_party,9500_17499,2,0,0,0,4,1,2,3,2,2,2,4,3,NA,NA,NA,alevel,1.11,-1.2965482561310893,0
25-34,male,gcse,cons,25000plus,1,0,0,0,3,1,2,2,3,1,4,4,3,NA,NA,NA,gcse,1.18,-1.2965482561310893,0
45-54,female,gcse,labour,up_to_9499,4,1,1,0,1,4,2,4,4,3,3,4,3,NA,NA,NA,gcse,0.59,0.3531676391989697,0
65plus,female,gcse,no_party,up_to_9499,2,1,1,0,2,3,2,4,5,4,4,2,3,NA,NA,NA,gcse,1.32,0.3531676391989697,0
35-44,male,gcse,no_party,up_to_9499,3,0,0,0,2,2,1,3,4,3,4,2,3,NA,NA,NA,gcse,0.6,-1.2965482561310893,0
45-54,male,gcse,labour,17500_24999,4,1,1,0,2,4,2,4,4,4,4,2,3,NA,NA,NA,gcse,1.16,0.3531676391989697,0
25-34,female,gcse,no_party,up_to_9499,4,1,1,0,2,4,1,4,4,4,4,2,3,NA,NA,NA,gcse,1.17,0.3531676391989697,0
45-54,female,gcse,labour,25000plus,5,1,1,0,3,5,3,4,5,4,4,2,3,NA,NA,NA,gcse,0.87,0.3531676391989697,0
65plus,male,gcse,no_party,25000plus,2,1,0,0,3,2,2,4,4,2,3,2,3,NA,NA,NA,gcse,0.97,-0.49018722391434655,0
65plus,male,gcse,labour,17500_24999,2,1,1,0,2,4,3,4,4,4,4,3,3,NA,NA,NA,gcse,0.61,0.3531676391989697,0
35-44,female,gcse,no_party,25000plus,3,1,0,0,2,3,1,5,4,4,4,2,3,NA,NA,NA,gcse,0.79,-0.49018722391434655,0
15-24,male,alevel,labour,17500_24999,2,1,0,0,3,2,4,4,4,5,4,1,3,NA,NA,NA,alevel,1.34,-0.49018722391434655,0
15-24,female,degree,other,25000plus,3,1,0,0,4,2,3,3,3,4,4,2,3,NA,NA,NA,degree,1.03,-0.49018722391434655,0
45-54,male,gcse,labour,25000plus,2,1,0,0,4,2,2,3,3,3,3,4,3,NA,NA,NA,gcse,1.15,-0.49018722391434655,0
65plus,male,gcse,no_party,25000plus,1,1,0,0,3,1,4,4,4,3,3,2,3,NA,NA,NA,gcse,1.34,-0.49018722391434655,0
25-34,female,gcse,no_party,9500_17499,4,1,1,1,2,4,5,4,5,4,5,4,3,NA,NA,NA,gcse,0.81,0.9984553862772432,1
25-34,male,alevel,labour,25000plus,3,1,1,0,2,3,2,4,3,2,3,2,3,NA,NA,NA,alevel,1.14,0.3531676391989697,0
65plus,male,gcse,other,17500_24999,2,1,0,0,2,4,4,3,3,3,3,2,3,NA,NA,NA,gcse,0.57,-0.49018722391434655,0
25-34,male,gcse,cons,25000plus,3,1,0,0,2,4,2,2,4,4,3,3,3,NA,NA,NA,gcse,1.19,-0.49018722391434655,0
55-64,female,gcse,labour,up_to_9499,4,1,1,0,3,3,2,5,3,3,4,3,3,NA,NA,NA,gcse,0.6,0.3531676391989697,0
15-24,female,gcse,other,17500_24999,2,1,0,0,2,4,2,5,1,3,2,3,3,NA,NA,NA,gcse,0.61,-0.49018722391434655,0
55-64,male,gcse,labour,up_to_9499,1,1,0,0,2,2,2,5,4,3,4,2,3,NA,NA,NA,gcse,1.01,-0.49018722391434655,0
35-44,female,gcse,labour,up_to_9499,3,1,1,0,4,2,2,5,5,5,4,2,3,NA,NA,NA,gcse,0.73,0.3531676391989697,0
65plus,male,gcse,cons,25000plus,5,1,1,1,3,2,2,5,4,2,4,1,3,NA,NA,NA,gcse,1.12,0.9984553862772432,1
25-34,female,gcse,labour,17500_24999,3,1,0,0,3,4,3,4,4,2,2,2,3,NA,NA,NA,gcse,1.07,-0.49018722391434655,0
45-54,female,gcse,cons,25000plus,3,1,0,0,2,3,4,4,4,3,4,3,3,NA,NA,NA,gcse,0.49,-0.49018722391434655,0
15-24,female,gcse,labour,up_to_9499,3,1,0,1,2,3,4,4,3,4,1,3,3,NA,NA,NA,gcse,0.89,0.12751998108451623,0
35-44,male,alevel,no_party,25000plus,1,0,0,0,5,5,1,5,4,2,4,1,3,NA,NA,NA,alevel,0.56,-1.2965482561310893,0
65plus,male,gcse,labour,up_to_9499,3,1,1,0,2,1,3,4,4,4,4,2,3,NA,NA,NA,gcse,1.12,0.3531676391989697,0
55-64,female,gcse,no_party,up_to_9499,4,1,0,0,4,3,4,4,4,4,5,3,3,NA,NA,NA,gcse,0.79,-0.49018722391434655,0
65plus,female,gcse,cons,25000plus,1,0,0,0,3,2,2,2,2,2,2,2,3,NA,NA,NA,gcse,0.98,-1.2965482561310893,0
35-44,male,gcse,no_party,25000plus,3,1,0,0,3,2,1,2,2,3,3,1,3,NA,NA,NA,gcse,1.3,-0.49018722391434655,0
15-24,male,gcse,labour,17500_24999,1,1,0,0,2,1,1,4,5,1,3,1,3,NA,NA,NA,gcse,1.01,-0.49018722391434655,0
45-54,female,gcse,lib_dem,up_to_9499,3,1,0,1,3,2,2,5,4,4,4,2,3,NA,NA,NA,gcse,1.26,0.12751998108451623,0
65plus,male,gcse,lib_dem,up_to_9499,2,1,1,0,2,3,3,2,2,4,3,3,3,NA,NA,NA,gcse,0.57,0.3531676391989697,0
45-54,female,alevel,labour,25000plus,2,1,0,0,4,1,2,4,4,3,1,1,3,NA,NA,NA,alevel,1.82,-0.49018722391434655,0
35-44,male,gcse,other,9500_17499,1,0,0,0,4,1,4,4,2,2,2,1,3,NA,NA,NA,gcse,1.09,-1.2965482561310893,0
65plus,male,gcse,cons,9500_17499,2,1,1,0,3,4,2,3,3,4,2,2,3,NA,NA,NA,gcse,0.56,0.3531676391989697,0
35-44,female,gcse,labour,25000plus,3,1,1,0,3,4,2,3,3,4,3,2,3,NA,NA,NA,gcse,0.87,0.3531676391989697,0
55-64,female,gcse,labour,9500_17499,3,1,1,0,3,2,1,4,2,4,4,4,3,NA,NA,NA,gcse,1.21,0.3531676391989697,0
65plus,male,gcse,labour,9500_17499,1,1,0,0,4,2,2,4,2,4,1,3,3,NA,NA,NA,gcse,1.37,-0.49018722391434655,0
55-64,male,gcse,no_party,17500_24999,3,1,0,1,2,3,2,5,5,2,3,3,3,NA,NA,NA,gcse,0.82,0.12751998108451623,0
65plus,male,gcse,cons,25000plus,3,1,1,1,3,1,1,1,4,3,4,2,3,NA,NA,NA,gcse,0.58,0.9984553862772432,1
35-44,female,alevel,labour,17500_24999,4,1,1,1,2,4,4,4,4,4,4,3,3,NA,NA,NA,alevel,1.15,0.9984553862772432,1
15-24,male,degree,labour,25000plus,3,1,1,0,2,4,3,3,4,3,5,3,3,NA,NA,NA,degree,2.62,0.3531676391989697,0
45-54,female,gcse,cons,25000plus,3,1,0,1,2,3,4,4,4,4,5,3,3,NA,NA,NA,gcse,0.55,0.12751998108451623,0
65plus,male,gcse,cons,25000plus,2,0,0,0,3,2,3,2,2,2,3,1,3,NA,NA,NA,gcse,0.92,-1.2965482561310893,0
25-34,female,gcse,no_party,up_to_9499,3,1,1,0,2,4,2,4,1,3,2,3,3,NA,NA,NA,gcse,0.85,0.3531676391989697,0
65plus,female,gcse,no_party,25000plus,2,1,1,0,3,3,4,4,4,4,4,4,3,NA,NA,NA,gcse,1,0.3531676391989697,0
45-54,male,gcse,no_party,9500_17499,3,1,0,0,3,4,4,3,3,4,3,4,3,NA,NA,NA,gcse,0.95,-0.49018722391434655,0
25-34,male,gcse,other,up_to_9499,1,0,0,0,4,1,1,2,1,1,2,2,3,NA,NA,NA,gcse,1.41,-1.2965482561310893,0
15-24,female,degree,other,25000plus,2,1,0,0,3,2,3,3,4,3,2,3,3,NA,NA,NA,degree,0.48,-0.49018722391434655,0
35-44,male,degree,no_party,9500_17499,3,1,1,1,3,2,2,4,4,3,4,2,3,NA,NA,NA,degree,1.32,0.9984553862772432,1
65plus,female,gcse,no_party,25000plus,3,1,1,0,1,2,3,4,4,3,3,1,3,NA,NA,NA,gcse,1.24,0.3531676391989697,0
45-54,female,gcse,lib_dem,up_to_9499,2,1,1,0,4,3,4,4,2,4,4,1,3,NA,NA,NA,gcse,0.96,0.3531676391989697,0
25-34,male,gcse,no_party,17500_24999,3,1,0,0,3,3,3,3,4,3,3,2,3,NA,NA,NA,gcse,1.41,-0.49018722391434655,0
25-34,female,gcse,cons,9500_17499,2,1,1,1,2,3,4,4,4,4,4,2,3,NA,NA,NA,gcse,0.89,0.9984553862772432,1
45-54,female,gcse,cons,9500_17499,3,1,0,0,3,4,2,3,3,1,3,4,3,NA,NA,NA,gcse,0.55,-0.49018722391434655,0
65plus,male,gcse,labour,17500_24999,3,1,0,0,4,2,3,4,4,2,1,4,3,NA,NA,NA,gcse,0.92,-0.49018722391434655,0
25-34,female,gcse,no_party,up_to_9499,4,1,1,1,2,4,4,4,5,4,4,3,3,NA,NA,NA,gcse,1.1,0.9984553862772432,1
25-34,male,alevel,labour,25000plus,2,1,0,0,2,3,3,4,4,3,3,2,3,NA,NA,NA,alevel,1.21,-0.49018722391434655,0
55-64,female,gcse,other,up_to_9499,2,1,0,0,1,1,4,3,5,2,3,1,3,NA,NA,NA,gcse,0.75,-0.49018722391434655,0
35-44,female,gcse,labour,9500_17499,2,1,1,0,5,2,1,1,4,4,1,2,3,NA,NA,NA,gcse,1.48,0.3531676391989697,0
65plus,female,gcse,labour,9500_17499,2,1,0,0,4,3,3,2,2,2,1,5,3,NA,NA,NA,gcse,0.5,-0.49018722391434655,0
45-54,male,alevel,no_party,25000plus,1,1,0,0,4,1,1,5,1,2,1,4,3,NA,NA,NA,alevel,0.74,-0.49018722391434655,0
15-24,male,gcse,no_party,up_to_9499,2,1,0,0,3,2,2,5,3,2,5,1,3,NA,NA,NA,gcse,0.93,-0.49018722391434655,0
35-44,male,gcse,no_party,9500_17499,1,0,0,0,3,1,1,2,3,2,3,2,3,NA,NA,NA,gcse,1.35,-1.2965482561310893,0
65plus,female,gcse,lib_dem,9500_17499,3,1,0,0,2,2,3,4,3,2,4,2,3,NA,NA,NA,gcse,0.49,-0.49018722391434655,0
45-54,male,alevel,lib_dem,25000plus,2,1,0,0,3,3,4,2,2,4,2,3,3,NA,NA,NA,alevel,0.97,-0.49018722391434655,0
65plus,male,gcse,cons,up_to_9499,2,1,1,0,3,3,2,4,4,4,4,4,3,NA,NA,NA,gcse,1.13,0.3531676391989697,0
