"gender","age","nationality","education_ISCED","in_paid_work","religion","ideology_left_right","gen_imm_escape","gen_imm_work","gen_imm_study","gen_imm_family_war","gen_imm_marriage","gen_imm_ess_good_bad","gen_imm_ess_jobs","gen_imm_ess_welfare","gen_imm_ess_safety","imm_anger","imm_fear","imm_hope","imm_sympathy","imm_size","eu_nat_identity","free_move_protect_jobs","free_move_protect_services","gen_know_switzerland","gen_know_ep","gen_know_party","mig_know_free_move","mig_know_schengen","mig_know_asylum","mig_know_syrians","gen_know_sum","mig_know_sum","gen_know_prop","mig_know_prop","W1_EX1","W1_EX2","W2_EX1","W2_EX2","W2_CC","WEIGHT","WEIGHTEX1","WEIGHTEX2","education_binary","gen_imm_sum","know_score_general","know_score_imm","know_score_general_binary","know_score_imm_binary","ps_value_general","weight.ATE_general","ps_value_imm","weight.ATE_imm"
"female",45,"germany","2","1","5",3,5,5,5,5,4,6,4,6,8,3,5,4,5,40,3,2,2,1,1,1,1,0,0,1,3,2,1,0.5,NA,NA,NA,NA,2,1,1,1,0,24,0.729090370818878,0.543292489902306,1,1,0.119287991379881,8.38307350498869,0.284798828249865,3.51125040136282
"male",35,"romania","7","1","3",9,5,3,5,3,5,7,8,5,7,2,3,6,5,2,2,3,2,0,1,0,1,1,1,0,2,3,0.666666666666667,0.75,NA,NA,NA,NA,2,0.6422,0.6473,0.6592,1,21,-0.947460262711766,0.0848716597143804,0,0,0.582966283547963,2.39788765404298,0.504009889301572,2.01616923085795
"female",55,"spain","6","0","6",4,4,4,4,4,4,7,7,6,4,1,1,3,4,16,1,2,2,0,0,1,1,0,0,1,1,2,0.333333333333333,0.5,NA,NA,NA,NA,2,1,1,1,1,20,-0.94861939049062,0.543292489902306,0,1,0.358528487049207,1.55891568029259,0.321669937589047,3.10877667802939
"female",40,"spain","3","1","1",5,4,5,4,4,4,8,8,5,9,1,1,7,5,20,2,3,2,1,0,1,1,0,0,1,2,2,0.666666666666667,0.5,NA,NA,NA,NA,2,1,1,1,0,NA,0.230219397408275,0.543292489902306,0,1,0.205877989832991,1.25925234056879,0.328099535536392,3.04785557945138
"male",47,"sweden","6","1","4",3,5,4,5,3,3,7,8,5,5,1,1,3,5,10,4,2,4,1,1,1,1,1,1,1,3,4,1,1,NA,NA,NA,NA,2,1,1,1,1,20,0.729090370818878,1.14645059101092,1,1,0.314793731843701,3.17668332893144,0.381779237989885,2.61931477799873
"male",75,"poland","6","0","2",7,5,4,5,5,5,10,10,10,1,1,1,7,7,3,1,1,1,1,1,1,1,0,1,1,3,3,1,0.75,NA,NA,NA,NA,2,1,1,1,1,24,0.729090370818878,1.14645059101092,1,1,0.648087438454662,1.54300167024447,0.543922607404846,1.83849684934256
"male",68,"germany","4","0","1",2,4,4,4,3,3,5,7,5,5,2,3,4,4,10,1,1,5,1,0,1,1,1,0,1,2,3,0.666666666666667,0.75,NA,NA,NA,NA,2,1.0014,1.0018,0.988,0,18,0.230219397408275,0.543292489902306,0,1,0.507710553897079,2.03132528620355,0.431040682531019,2.31996663082501
"female",35,"germany","2","0","1",5,3,3,3,3,2,4,4,5,5,3,4,3,4,80,2,2,2,1,1,0,0,0,0,0,3,0,1,0,NA,NA,NA,NA,2,1,1,1,0,14,0.231583256036239,-0.941440527749612,0,0,0.122657819848634,1.13980613564878,0.248130481151117,1.33001800835204
"female",62,"poland","7","0","2",5,5,4,5,5,5,10,10,10,5,1,3,4,5,10,2,2,2,1,0,1,1,1,0,0,2,3,0.666666666666667,0.75,NA,NA,NA,NA,2,0.8991,0.8888,0.857,1,24,0.230219397408275,-0.504331780470674,0,0,0.406021682365272,1.68356313742576,0.393532473846412,1.64889290337163
"male",77,"uk","5","0","2",6,4,5,5,4,3,8,8,8,5,2,2,6,6,3,4,4,4,1,1,1,1,1,0,1,3,3,1,0.75,NA,NA,NA,NA,2,1,1,1,0,21,0.729090370818878,0.543292489902306,1,1,0.605615394624861,1.65121297918695,0.536410592232388,1.86424357475546
"female",27,"uk","6","1","3",0,5,4,4,5,5,10,8,10,6,1,1,7,7,20,1,3,3,1,0,1,1,1,1,1,2,4,0.666666666666667,1,NA,NA,NA,NA,2,1,1,1,1,23,0.230219397408275,1.14645059101092,0,1,0.321638312805397,1.47413985618136,0.311871783008874,3.20644590014591
"male",42,"spain","2","0","66",7,2,4,4,3,5,4,1,1,4,6,6,6,6,9,4,5,4,1,0,0,1,0,1,0,2,2,0.666666666666667,0.5,NA,NA,NA,NA,2,0.9261,0.9203,0.9213,0,18,-0.155671114193257,0.0848716597143804,0,0,0.213945755529666,1.27217683389501,0.306272962481646,1.44148915339564
"female",29,"uk","3","0","5",5,5,4,5,5,5,5,7,7,5,1,2,4,4,60,2,3,4,0,0,1,1,0,0,1,1,2,0.333333333333333,0.5,NA,NA,NA,NA,2,0.9623,0.9711,1.0134,0,24,-0.94861939049062,0.543292489902306,0,1,0.109690026863516,1.12320431105257,0.264870247446739,3.77543347974968
"male",21,"uk","6","1","3",5,2,3,1,4,2,2,2,5,5,2,3,2,3,40,4,2,3,1,1,0,1,0,0,0,3,1,1,0.25,NA,NA,NA,NA,2,1,1,1,1,12,0.231583256036239,-0.504331780470674,0,0,0.480941157309781,1.92656384547294,0.417447754634619,1.71658423421369
"male",41,"uk","7","1","3",5,5,5,5,5,5,10,10,10,5,1,1,7,7,25,1,3,3,1,0,1,1,1,0,0,2,3,0.666666666666667,0.75,NA,NA,NA,NA,2,1.1342,1.1367,1.1376,1,25,0.230219397408275,-0.504331780470674,0,0,0.609397075020394,2.56014467902976,0.483835089509176,1.93736532583956
"female",56,"uk","7","1","7",5,5,5,5,5,4,5,5,5,5,5,5,5,5,30,4,4,4,1,0,1,1,0,0,1,2,2,0.666666666666667,0.5,NA,NA,NA,NA,2,1,1,1,1,24,0.230219397408275,0.543292489902306,0,1,0.368591937200855,1.58376184739679,0.488431312478696,2.04737078572049
"female",35,"germany","6","1","4",5,5,4,5,5,4,8,10,5,6,1,1,1,1,40,4,3,3,1,1,1,0,0,0,0,3,1,1,0.25,NA,NA,NA,NA,2,0.9768,0.985,1.0175,1,23,0.729090370818878,-0.941440527749612,1,0,0.141227430668909,7.08077740466993,0.288407746338473,1.40529916515316
"male",48,"uk","6","1","2",5,5,5,3,5,4,10,7,5,5,1,1,5,5,15,1,1,1,1,1,1,1,1,0,0,3,3,1,0.75,NA,NA,NA,NA,2,1.1342,1.1367,1.1376,1,22,0.729090370818878,-0.504331780470674,1,0,0.533783516783069,1.87341865861025,0.464981676740068,1.86909486371771
"female",59,"uk","3","0","7",3,4,5,4,4,5,6,10,6,6,4,4,6,5,80,1,5,5,0,0,1,0,0,0,0,1,1,0.333333333333333,0.25,NA,NA,NA,NA,2,1,1,1,0,22,-0.94861939049062,-0.941440527749612,0,0,0.203468578329668,1.25544325408154,0.404188217539467,1.67838238423262
"male",45,"spain","4","1","1",4,5,5,5,5,5,8,5,4,6,3,4,5,4,15,1,2,2,1,1,1,1,1,0,0,3,3,1,0.75,NA,NA,NA,NA,2,1,1,1,0,25,0.729090370818878,-0.504331780470674,1,0,0.417256481951183,2.39660746628496,0.40750012985281,1.687764082972
"male",48,"sweden","3","1","1",5,3,3,3,3,3,0,0,0,10,7,5,1,5,25,3,1,4,1,0,1,1,1,0,1,2,3,0.666666666666667,0.75,NA,NA,NA,NA,2,1.0123,1.0093,1.0267,0,15,0.230219397408275,0.543292489902306,0,1,0.401419471929623,1.67061899461325,0.433101622606305,2.30892693031772
"male",51,"hungary","3","0","1",0,5,4,5,5,5,9,9,9,0,1,1,5,6,40,1,2,5,1,1,1,1,0,0,1,3,2,1,0.5,NA,NA,NA,NA,2,0.8671,0.8714,0.8728,0,24,0.729090370818878,0.543292489902306,1,1,0.379455447592211,2.63535549784667,0.36039475462622,2.77473516793312
"female",20,"sweden","3","1","1",7,3,4,4,4,4,7,7,6,5,6,5,7,4,30,4,4,3,0,0,0,0,0,0,0,1,0,0.333333333333333,0,NA,1,NA,NA,2,1.0194,1.0219,1,0,19,-1.35759211319193,-0.941440527749612,0,0,0.144395838378835,1.16876476863464,0.286433291445651,1.40141067122645
"female",23,"germany","6","0","3",5,3,3,4,3,3,8,7,5,5,3,3,4,4,50,2,3,3,1,0,1,1,1,0,1,2,3,0.666666666666667,0.75,NA,NA,NA,NA,2,1,1,1,1,16,0.230219397408275,0.543292489902306,0,1,0.281523473834822,1.39183392022205,0.313715997669957,3.18759644846688
"female",42,"uk","6","1","66",6,4,4,3,4,3,7,5,4,8,4,3,6,3,35,4,5,5,1,0,1,1,0,0,1,2,2,0.666666666666667,0.5,NA,NA,NA,NA,2,1.0313,1.0362,1.0206,1,NA,0.230219397408275,0.543292489902306,0,1,0.288365332786221,1.40521540907393,0.331188881766844,3.01942503222073
"female",71,"germany","7","0","3",6,2,2,4,1,3,6,5,6,7,4,4,3,4,10,1,3,3,1,1,1,1,1,0,1,3,3,1,0.75,NA,NA,NA,NA,2,0.9771,0.973,0.9529,1,NA,0.729090370818878,0.543292489902306,1,1,0.551405897330239,1.81354607348549,0.479029938713002,2.0875521949352
"female",30,"hungary","3","1","1",5,4,3,5,3,5,3,1,4,5,3,1,1,7,5,3,3,2,1,0,0,1,0,1,1,2,2,0.666666666666667,0.5,NA,NA,NA,NA,2,0.9945,1.0013,1.0213,0,20,-0.155671114193257,1.14645059101092,0,1,0.17219050835022,1.20800741002263,0.298214326072653,3.35329295936096
