"gender","age","nationality","education_ISCED","in_paid_work","religion","ideology_left_right","gen_imm_escape","gen_imm_work","gen_imm_study","gen_imm_family_war","gen_imm_marriage","gen_imm_ess_good_bad","gen_imm_ess_jobs","gen_imm_ess_welfare","gen_imm_ess_safety","imm_anger","imm_fear","imm_hope","imm_sympathy","imm_size","free_move_protect_jobs","free_move_protect_services","gen_know_switzerland","gen_know_ep","gen_know_party","mig_know_free_move","mig_know_schenger","mig_know_asylum","mig_know_syrians","W1_EX1","W1_EX2","W2_EX1","W2_EX2","W2_CC","WEIGHT","WEIGHTEX1","WEIGHTEX2"
"male",66,"spain",6,2,2,7,4,4,4,4,4,7,5,4,NA,3,3,5,5,10,2,3,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,2,0.905,0.8991,0.8866
"fenale",61,"spain",5,2,2,8,4,4,4,4,4,6,5,6,5,1,1,5,5,20,4,3,1,1,1,1,1,0,1,NA,NA,NA,NA,2,0.9376,0.9362,0.9041
"fenale",43,"other",5,1,1,7,4,5,5,4,4,10,10,7,7,1,5,7,6,40,2,2,1,0,1,1,NA,1,1,NA,NA,NA,NA,2,0.9513,0.9437,0.9324
"fenale",56,"spain",4,1,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,1,1
"fenale",69,"other",4,2,2,0,5,3,5,4,4,7,8,5,5,6,6,6,6,80,4,3,0,1,1,1,1,NA,NA,NA,NA,NA,NA,2,0.9218,0.9228,0.8933
"fenale",51,"sweden",4,1,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,1,1
"fenale",50,"other",5,1,2,2,5,3,3,5,5,7,6,5,5,1,1,7,7,50,3,3,1,NA,1,NA,NA,NA,0,NA,NA,NA,NA,2,1,1,1
"male",57,"spain",4,1,NA,7,3,4,3,3,4,9,5,2,10,4,5,3,5,10,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",66,"other",4,1,NA,7,1,4,4,3,4,10,5,5,6,4,4,2,4,5,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",69,"spain",5,2,NA,NA,3,3,4,3,3,10,10,10,0,1,1,6,6,20,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"male",55,"other",6,1,2,1,3,3,3,3,3,10,10,10,3,1,1,7,7,12,3,3,1,1,1,1,1,0,NA,NA,NA,NA,NA,2,1.1879,1.1887,1.1513
"fenale",71,"other",3,2,1,3,5,4,3,3,4,9,9,9,2,1,4,5,7,10,3,3,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,2,0.9102,0.8953,0.8466
"male",62,"spain",4,1,2,5,5,4,4,5,4,6,6,3,0,2,2,6,6,50,3,3,1,1,1,1,NA,NA,0,NA,NA,NA,NA,2,1.0893,1.0936,1.0673
"fenale",57,"sweden",5,1,NA,8,2,4,4,2,4,0,5,0,10,4,4,4,4,20,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",73,"germany",2,2,1,5,5,4,4,4,4,10,10,5,7,4,2,4,6,8,3,3,1,NA,1,1,1,NA,1,NA,NA,NA,NA,2,0.9725,0.9661,0.9366
"male",45,"uk",6,1,NA,5,5,5,5,5,5,10,10,10,10,1,1,7,7,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",70,"uk",6,2,66,5,3,4,4,4,2,5,2,5,2,4,5,5,4,25,3,5,1,NA,1,0,NA,0,1,NA,NA,NA,NA,2,1,1,1
"male",74,"uk",3,2,6,7,4,4,4,4,4,8,6,8,4,3,3,6,5,10,4,4,1,1,1,1,1,0,1,NA,NA,NA,NA,2,1.0448,1.0477,1.0412
"male",37,"other",6,1,NA,2,4,4,4,4,4,7,10,7,5,1,1,5,7,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"male",26,"other",0,1,NA,5,5,5,5,5,5,6,5,2,5,2,1,4,4,20,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"male",30,"uk",8,1,NA,5,4,4,4,4,4,6,6,7,2,1,1,6,6,30,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",71,"other",6,2,NA,2,3,3,3,3,4,8,7,8,5,1,1,3,4,25,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",43,"germany",2,2,NA,5,1,1,3,1,3,0,0,0,10,7,7,1,1,20,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"male",74,"other",7,1,NA,5,2,5,5,2,5,4,5,1,10,7,4,4,4,5,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"male",71,"other",3,1,2,5,4,4,4,3,4,10,3,5,5,1,2,4,4,75,3,4,1,0,1,1,1,NA,1,NA,NA,NA,NA,2,1,1,1
"male",71,"other",3,1,2,5,4,3,4,4,3,8,2,1,5,1,1,5,5,70,5,2,1,0,1,1,1,NA,NA,NA,NA,NA,NA,2,1.1294,1.1277,1.1105
"male",68,"other",6,1,NA,4,4,4,4,4,4,7,8,6,2,2,3,5,5,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",33,"uk",7,2,NA,0,5,4,4,5,4,8,7,7,4,1,1,4,7,7,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",30,"sweden",2,1,NA,NA,4,3,5,4,4,NA,5,0,NA,7,6,5,6,50,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",31,"other",7,1,NA,5,3,4,5,4,3,5,4,4,5,3,5,4,5,15,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"male",65,"other",4,1,NA,5,3,3,3,3,3,4,5,5,8,4,5,4,4,35,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"male",44,"germany",2,1,1,3,4,5,5,5,4,8,8,5,6,1,1,4,5,7,2,2,1,0,1,0,1,0,1,NA,NA,NA,NA,2,1,1,1
"male",58,"sweden",5,1,NA,5,2,4,4,2,3,2,5,2,8,2,4,3,3,30,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"male",46,"hungary",3,1,NA,10,1,4,5,1,5,0,0,0,10,7,1,1,1,10,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",43,"sweden",7,1,NA,6,3,4,3,3,4,6,8,5,7,2,3,2,5,2,4,3,1,0,1,1,1,0,1,NA,NA,NA,NA,2,0.9583,0.9323,0.8543
"fenale",30,"sweden",6,1,NA,6,3,4,4,3,4,7,6,5,8,1,3,2,4,14,2,4,1,NA,1,1,NA,NA,1,NA,NA,NA,NA,2,1,1,1
"male",59,"sweden",7,2,3,7,1,5,1,1,1,0,0,0,10,7,7,1,1,35,5,5,1,1,1,1,1,1,1,NA,NA,NA,NA,2,1,1,1
"male",63,"uk",6,2,NA,2,4,5,4,4,3,8,6,8,7,4,4,5,5,18,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",54,"uk",3,2,NA,5,5,4,3,5,4,9,5,9,5,3,4,6,5,15,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",56,"other",6,2,3,NA,4,4,4,4,4,6,5,5,5,3,1,4,5,40,2,2,1,1,1,1,1,NA,NA,NA,NA,NA,NA,2,0.9426,0.9478,0.9288
"fenale",24,"uk",3,1,NA,4,4,4,4,4,4,7,9,4,5,2,1,6,6,6,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",45,"other",6,1,3,7,3,4,3,3,4,8,7,9,5,1,1,1,1,10,4,5,1,1,1,1,0,NA,NA,NA,NA,NA,NA,2,1,1,1
"fenale",62,"uk",0,2,NA,0,5,5,5,5,5,5,0,10,10,NA,NA,NA,NA,25,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1
"male",61,"uk",3,1,3,7,3,3,3,3,3,7,5,6,6,4,4,4,4,40,3,3,1,1,1,1,1,0,1,NA,NA,NA,NA,2,1.1207,1.119,1.1041
"male",75,"other",3,2,3,3,4,3,4,4,4,7,7,6,4,2,3,4,7,1,2,2,1,NA,1,1,1,1,1,NA,NA,NA,NA,2,1.0442,1.0369,1.0056
"male",30,"other",7,2,7,5,4,2,4,3,2,1,5,3,3,3,3,1,2,60,2,4,0,NA,1,1,1,NA,1,NA,NA,NA,NA,2,1.2874,1.2842,1.3727
"fenale",41,"other",3,1,NA,10,2,3,3,5,5,8,0,0,5,4,6,1,6,30,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",47,"uk",6,1,1,1,5,5,5,5,5,10,10,10,5,1,1,7,7,3,3,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1
"male",46,"uk",3,1,NA,5,3,3,3,3,3,5,5,5,5,2,2,2,2,20,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",45,"germany",2,1,5,3,5,5,5,5,4,6,4,6,8,3,5,4,5,40,2,2,1,1,1,1,0,0,1,NA,NA,NA,NA,2,1,1,1
"fenale",24,"other",7,2,NA,5,3,3,3,3,3,8,8,7,7,3,3,4,5,34,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"male",37,"other",0,1,NA,7,4,1,2,3,3,8,2,3,6,3,2,5,6,49,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",34,"other",6,1,NA,10,4,4,4,5,5,7,10,10,0,3,3,6,7,10,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"male",25,"other",6,2,NA,5,4,5,5,4,5,10,10,7,8,1,1,3,4,10,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",24,"romania",6,1,NA,5,2,5,5,4,5,10,7,5,4,1,1,6,7,35,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
