"gender","age","nationality","education_ISCED","in_paid_work","religion","ideology_left_right","gen_imm_escape","gen_imm_work","gen_imm_study","gen_imm_family_war","gen_imm_marriage","gen_imm_ess_good_bad","gen_imm_ess_jobs","gen_imm_ess_welfare","gen_imm_ess_safety","imm_anger","imm_fear","imm_hope","imm_sympathy","imm_size","free_move_protect_jobs","free_move_protect_services","gen_know_switzerland","gen_know_ep","gen_know_party","mig_know_free_move","mig_know_schenger","mig_know_asylum","mig_know_syrians","W1_EX1","W1_EX2","W2_EX1","W2_EX2","W2_CC","WEIGHT","WEIGHTEX1","WEIGHTEX2"
"male",49,"sweden",5,1,NA,3,4,4,4,4,4,8,8,7,5,1,2,5,5,25,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",29,"poland",3,1,NA,9,3,3,3,2,2,4,9,7,9,6,6,6,5,5,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",37,"spain",5,1,66,5,4,5,3,4,3,6,6,NA,5,1,1,2,4,20,3,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,2,1,1,1
"fenale",45,"uk",5,1,NA,5,4,4,4,4,4,5,6,5,5,3,2,3,4,6,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"male",51,"romania",6,1,NA,4,2,4,4,3,3,8,3,5,8,3,3,4,4,8,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"male",70,"germany",6,1,NA,5,4,4,4,4,4,5,5,6,6,4,6,5,5,90,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",55,"sweden",5,2,NA,6,5,5,5,5,4,7,7,4,5,4,5,5,6,6,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"male",47,"spain",4,1,2,4,3,4,4,4,4,6,6,6,6,3,3,7,5,20,4,3,1,0,0,0,0,1,0,NA,NA,NA,NA,2,1,1,1
"male",75,"uk",3,2,NA,8,3,3,2,3,2,3,3,3,7,3,4,3,2,8,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",55,"hungary",2,1,NA,5,2,3,3,3,3,3,3,3,9,3,5,5,2,10,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",37,"romania",4,1,4,5,3,3,4,3,3,10,10,7,7,2,5,6,NA,25,3,3,1,NA,NA,NA,1,NA,0,NA,NA,NA,NA,2,1,1,1
"male",68,"romania",5,2,NA,7,3,4,4,4,4,5,4,5,5,1,1,1,6,10,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"male",47,"uk",3,1,NA,4,3,2,4,4,4,7,6,6,7,3,3,4,3,26,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"male",48,"poland",6,2,NA,7,4,4,4,4,4,8,7,5,5,2,2,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",31,"uk",1,1,NA,4,3,4,5,5,3,7,8,7,5,5,5,5,5,20,4,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1
"male",27,"germany",3,2,3,5,3,3,3,2,2,6,4,5,7,5,4,3,4,30,4,4,1,0,0,0,NA,1,0,NA,NA,NA,NA,2,1,1,1
"fenale",19,"poland",4,1,NA,2,4,4,5,4,4,7,9,5,3,1,1,1,3,6,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",31,"uk",3,1,NA,6,4,3,4,4,3,5,7,3,7,6,4,5,5,15,3,4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1
"male",55,"germany",3,2,NA,2,4,4,4,4,3,7,6,5,5,3,3,4,4,10,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",39,"germany",7,1,3,NA,5,4,4,4,3,6,3,2,7,3,5,3,4,9,3,4,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1
"fenale",67,"uk",3,2,NA,5,5,5,5,5,5,8,5,5,5,1,1,4,4,5,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"male",35,"germany",7,1,NA,4,2,3,3,3,4,4,7,2,4,2,5,5,4,30,3,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1
"male",23,"uk",6,2,NA,1,4,3,4,4,4,6,4,5,5,3,3,5,5,5,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"male",65,"uk",3,2,1,3,3,4,4,3,4,5,4,5,8,3,4,4,3,15,4,5,1,1,1,1,1,1,1,NA,NA,NA,NA,2,1,1,1
"male",57,"poland",3,1,NA,NA,3,3,4,3,4,4,5,6,5,4,4,4,4,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"male",29,"uk",3,2,NA,3,4,2,4,4,3,5,5,5,8,2,6,3,4,50,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",30,"romania",2,1,NA,4,3,4,5,3,3,4,5,7,7,3,4,5,4,50,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"male",37,"sweden",4,1,NA,8,3,4,3,2,2,0,5,0,10,7,5,1,2,30,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",77,"uk",2,1,1,8,3,4,3,3,1,5,3,6,10,6,7,3,4,80,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,2,1,1,1
"male",22,"uk",0,2,NA,4,2,1,4,3,3,10,9,9,9,4,3,5,7,60,2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1
"male",67,"romania",6,1,NA,5,2,3,3,2,1,3,3,0,8,6,6,1,1,10,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",21,"hungary",3,2,NA,5,2,4,4,1,4,7,8,9,4,6,5,3,1,100,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"male",48,"hungary",3,1,NA,8,2,3,3,3,2,2,5,5,7,5,7,5,3,5,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",49,"hungary",3,2,NA,5,3,3,3,3,3,0,0,0,5,1,4,1,1,10,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",36,"hungary",2,1,NA,8,3,3,3,3,1,5,5,5,6,4,4,4,4,30,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"male",44,"uk",6,1,NA,2,5,5,5,5,5,10,10,10,0,1,1,7,7,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"male",72,"uk",2,2,NA,5,4,5,4,4,4,8,8,10,2,1,2,6,4,16,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"male",65,"romania",6,2,NA,5,4,4,5,4,4,8,8,NA,8,2,4,2,5,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",26,"uk",6,1,NA,2,4,4,5,4,4,10,5,7,3,1,2,4,6,30,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",69,"germany",5,2,3,5,5,5,4,4,4,8,7,6,5,1,1,5,5,30,2,2,1,NA,1,0,1,1,NA,NA,NA,NA,NA,2,1,1,1
"fenale",48,"germany",3,1,NA,3,5,5,5,5,5,8,6,8,6,3,4,5,6,20,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"male",60,"sweden",5,2,3,3,5,4,4,5,4,7,7,7,2,1,2,6,7,4,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,2,1,1,1
"fenale",60,"poland",7,1,NA,6,5,4,4,4,3,7,8,5,5,2,4,5,6,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",30,"germany",2,1,NA,6,2,5,4,2,2,1,1,1,8,4,6,2,3,70,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"male",64,"sweden",4,1,NA,3,4,4,3,3,3,4,8,2,8,3,4,5,4,3,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",23,"romania",6,1,NA,5,3,3,4,3,4,5,5,5,5,4,4,4,5,25,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",33,"romania",6,1,4,6,3,3,4,4,4,7,8,8,6,2,4,5,4,20,3,3,NA,0,NA,1,1,NA,NA,NA,NA,NA,NA,2,1,1,1
"fenale",38,"germany",7,1,NA,4,3,4,2,2,4,4,3,3,10,5,5,7,3,60,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",59,"uk",2,1,NA,3,3,4,4,3,4,5,4,5,8,4,4,4,4,30,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",38,"uk",6,1,1,5,5,5,4,5,5,7,5,3,5,2,2,4,5,1,2,5,1,NA,1,1,NA,NA,1,NA,NA,NA,NA,2,1,1,1
"fenale",18,"uk",2,2,NA,5,3,4,3,4,3,3,0,0,10,3,1,1,4,50,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",43,"romania",3,1,4,4,3,1,4,3,3,2,2,2,8,3,7,4,5,30,3,2,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1
"fenale",25,"poland",3,1,2,5,3,3,3,3,4,5,7,5,7,5,6,4,5,0,4,3,0,0,1,1,0,1,1,NA,1,NA,NA,2,1,1,1
"male",32,"spain",3,1,NA,5,3,3,4,3,3,5,3,4,4,1,1,2,3,5,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"male",25,"sweden",1,1,NA,3,4,4,3,4,3,4,6,6,5,4,5,4,4,40,2,4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1
"fenale",32,"uk",3,1,1,6,4,4,4,4,4,8,2,3,6,5,5,5,5,40,3,4,0,1,1,1,NA,NA,1,NA,NA,NA,NA,2,1,1,1
"male",31,"hungary",3,2,NA,3,3,4,4,4,4,5,5,6,8,4,4,5,5,30,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"male",28,"uk",2,1,NA,2,4,4,4,3,4,8,8,8,8,5,5,5,5,80,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"male",61,"germany",2,2,3,4,4,4,4,3,3,6,5,4,9,3,5,3,3,5,4,4,1,1,1,NA,1,NA,1,NA,NA,NA,NA,2,1,1,1
"fenale",24,"spain",4,1,NA,3,3,3,3,3,3,8,3,6,9,1,3,5,5,30,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"male",44,"spain",5,1,1,5,4,4,3,3,3,7,7,8,6,4,4,4,5,30,4,4,1,0,1,1,1,0,NA,NA,NA,NA,NA,2,1,1,1
"fenale",19,"uk",3,2,NA,8,3,2,1,5,4,7,8,7,6,4,3,5,4,30,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",67,"other",4,1,NA,4,4,4,4,4,3,7,6,5,7,4,4,6,5,30,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"male",37,"uk",7,1,NA,7,4,3,4,3,3,6,5,5,5,4,5,5,4,15,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",23,"romania",3,2,4,6,3,3,3,3,3,6,7,7,9,4,4,4,4,30,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1
"male",58,"poland",3,1,NA,2,5,4,4,5,3,5,3,4,7,3,3,4,4,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",24,"uk",2,1,NA,7,3,3,5,4,4,8,7,8,8,4,4,5,5,50,5,4,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,2,1,1,1
"fenale",20,"romania",3,1,NA,5,3,4,5,3,5,9,8,7,6,2,4,4,4,7,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"male",30,"germany",4,1,NA,6,3,4,3,4,3,7,2,3,5,6,5,2,2,40,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",30,"romania",3,1,4,5,3,3,3,3,3,4,4,4,4,3,3,4,3,10,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1
"male",36,"uk",3,1,NA,9,4,4,3,3,3,4,7,6,6,6,5,4,4,30,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",38,"poland",3,NA,NA,5,3,3,3,3,4,5,4,3,4,3,4,3,3,30,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"male",22,"poland",3,1,NA,5,4,3,2,3,3,7,7,6,2,4,4,3,5,24,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",22,"uk",1,1,NA,3,4,3,4,3,4,6,5,5,8,5,5,4,5,45,3,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1
"fenale",65,"poland",7,2,NA,3,5,4,5,5,4,10,6,7,4,1,1,1,7,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"male",25,"other",7,1,NA,6,3,3,3,4,4,2,8,5,7,6,1,2,2,45,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",41,"spain",7,1,NA,7,4,4,4,3,3,7,6,6,6,5,5,4,4,5,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",24,"uk",1,2,NA,3,5,4,5,5,5,8,10,3,0,1,1,5,6,1,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"male",68,"uk",2,2,3,8,2,1,3,NA,2,6,0,2,10,7,5,3,2,25,5,5,1,0,1,1,0,NA,1,NA,NA,NA,NA,2,1,1,1
"fenale",24,"romania",3,2,NA,6,3,4,4,3,3,8,8,9,7,5,3,4,4,40,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"male",21,"romania",3,2,1,5,3,3,3,3,3,4,5,5,5,2,3,2,2,3,1,2,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1
"fenale",42,"other",7,1,NA,5,3,3,4,4,1,5,7,6,5,5,2,5,2,10,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",54,"romania",3,1,NA,5,5,5,5,5,5,6,10,10,5,1,1,4,7,10,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",24,"romania",3,1,NA,5,3,2,3,1,4,5,5,5,5,4,5,1,5,60,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",27,"spain",4,2,NA,3,3,3,3,3,3,5,7,5,7,2,2,4,5,60,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",23,"romania",3,1,NA,5,2,3,3,3,4,7,6,5,6,7,7,1,7,20,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"male",19,"romania",3,1,NA,9,3,4,4,3,3,7,6,8,8,6,5,4,4,40,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",22,"romania",3,1,NA,10,3,4,5,3,2,0,4,5,10,1,4,1,3,10,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",25,"uk",6,1,NA,5,3,2,3,2,2,0,0,0,4,4,5,1,1,70,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",30,"spain",2,1,NA,9,4,4,5,4,4,6,6,7,7,5,5,6,6,50,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",33,"sweden",2,1,NA,6,4,4,4,4,3,3,4,3,4,5,5,5,5,10,4,3,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,1,1
"fenale",29,"uk",1,1,NA,8,4,2,2,3,3,4,6,6,7,4,6,4,5,15,3,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1
"male",22,"romania",3,2,NA,8,3,4,5,3,4,8,5,5,5,3,2,5,4,20,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"male",55,"other",2,2,NA,8,4,3,4,4,4,7,7,7,5,3,5,3,5,3,2,5,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1
"fenale",21,"hungary",3,2,NA,5,2,2,4,4,3,0,0,0,10,7,7,1,1,5,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"male",37,"hungary",6,1,NA,4,4,5,5,5,4,5,5,0,2,7,7,1,1,60,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"male",35,"uk",2,1,NA,5,4,5,4,4,4,8,7,8,10,7,7,5,7,30,4,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1
"fenale",27,"romania",3,1,NA,7,3,4,4,3,4,8,6,6,3,3,3,4,2,28,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"male",39,"spain",8,1,NA,9,3,4,4,3,4,4,5,5,8,4,4,4,4,20,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",20,"romania",3,1,NA,5,3,3,5,5,5,10,10,5,9,1,2,7,4,10,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"male",31,"hungary",3,1,NA,5,3,4,2,2,3,6,6,1,10,5,4,3,6,10,3,5,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1
"fenale",66,"hungary",5,1,NA,3,4,3,4,4,3,5,4,5,5,4,5,4,4,10,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"male",22,"uk",3,1,NA,9,5,5,3,4,5,9,8,7,9,7,5,6,6,40,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"male",47,"uk",3,2,1,6,5,5,5,5,5,10,6,10,5,1,1,7,7,5,1,1,1,0,1,1,1,1,0,NA,NA,NA,NA,2,1,1,1
"male",48,"sweden",4,2,NA,NA,NA,4,NA,NA,NA,2,5,3,9,5,NA,2,4,8,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"male",40,"hungary",2,1,1,4,4,5,5,4,5,6,6,NA,7,3,5,4,4,5,3,3,0,NA,1,1,0,0,1,NA,NA,NA,NA,2,1,1,1
"fenale",47,"hungary",3,1,5,5,3,2,2,3,3,0,0,0,10,5,7,1,1,20,3,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1
"male",23,"sweden",4,2,NA,3,4,4,4,4,4,10,10,10,5,1,3,5,5,20,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"male",38,"spain",6,1,NA,3,5,3,4,4,5,6,5,5,5,2,2,5,5,12,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",26,"germany",3,1,NA,0,5,2,3,4,3,5,7,5,5,4,6,2,4,30,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",31,"sweden",6,1,NA,8,3,5,5,3,5,7,8,6,8,4,4,2,4,10,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"male",63,"sweden",3,2,NA,9,3,4,4,1,2,4,5,3,8,6,6,3,3,5,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"male",73,"uk",6,2,NA,3,5,5,5,4,4,8,7,6,5,1,2,5,6,5,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",61,"uk",3,2,NA,2,3,3,3,4,4,6,1,4,6,1,2,6,5,6,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"male",81,"uk",2,2,1,8,3,4,4,4,4,7,7,5,6,3,4,5,5,20,4,4,0,NA,1,1,1,1,1,NA,NA,NA,NA,2,1,1,1
"fenale",43,"sweden",3,1,NA,4,4,4,4,4,4,4,4,3,8,5,5,5,5,30,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"male",18,"other",4,1,NA,10,3,4,5,4,4,5,3,5,7,6,4,5,3,10,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",21,"spain",4,1,NA,5,5,5,5,5,5,8,7,5,7,6,6,6,4,20,4,4,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,1,1
"male",52,"uk",2,1,3,5,3,4,2,3,4,6,7,7,7,1,1,1,4,10,4,4,1,0,1,1,NA,NA,1,NA,NA,NA,NA,2,1,1,1
"fenale",46,"sweden",3,2,NA,4,4,3,4,3,3,5,5,5,5,2,2,4,5,35,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",70,"spain",4,2,NA,0,4,5,5,4,5,8,7,6,5,1,1,4,4,5,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",72,"sweden",6,2,NA,7,4,4,4,4,3,5,5,5,5,2,2,2,3,10,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",32,"other",4,1,NA,2,5,4,5,5,5,10,10,10,3,4,7,7,7,60,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"male",24,"poland",3,1,NA,9,2,3,2,2,3,10,9,10,10,5,5,5,6,10,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",51,"spain",6,1,NA,6,4,4,4,3,4,6,7,7,6,4,6,5,5,45,3,4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1
"fenale",38,"spain",6,1,5,5,2,4,3,3,3,5,2,1,10,5,5,4,3,25,4,4,1,1,1,1,1,1,1,NA,NA,NA,NA,2,1,1,1
"male",54,"uk",2,1,NA,8,3,4,2,4,2,8,6,7,6,4,4,3,5,20,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"male",21,"uk",1,1,NA,7,3,4,3,3,3,7,5,5,7,5,5,4,5,30,3,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1
"fenale",39,"spain",7,1,1,3,5,5,5,5,5,9,9,5,5,1,1,4,5,25,2,2,0,1,1,1,1,NA,NA,NA,NA,NA,NA,2,1,1,1
"fenale",33,"germany",3,1,NA,3,3,3,3,3,3,2,4,4,10,5,5,2,3,20,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"male",35,"spain",7,1,NA,7,2,4,4,3,4,6,5,6,6,5,3,4,4,10,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"male",30,"poland",3,1,NA,6,4,2,3,3,4,7,6,8,4,4,4,5,4,8,4,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1
"fenale",23,"uk",2,1,NA,5,3,5,5,4,4,5,8,5,6,4,3,3,4,50,4,4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1
"male",22,"uk",6,2,1,6,4,4,3,3,2,4,7,3,5,3,2,6,6,40,5,3,1,0,0,1,1,0,0,NA,1,NA,NA,2,1,1,1
"fenale",21,"uk",2,1,NA,8,3,3,3,3,3,9,6,5,5,5,5,4,3,60,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",38,"romania",7,1,NA,5,3,4,4,3,4,6,5,7,5,1,5,1,5,20,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",24,"spain",4,2,NA,2,3,4,4,3,4,5,5,5,5,1,2,3,3,30,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"male",22,"other",2,2,NA,3,4,4,4,4,3,7,4,6,7,3,4,5,5,12,3,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1
"fenale",39,"spain",4,1,NA,4,3,4,5,3,3,4,4,0,7,4,5,4,4,10,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"male",67,"uk",3,2,3,6,4,4,3,3,4,6,5,3,8,2,5,4,5,20,4,5,1,1,1,1,1,NA,NA,NA,NA,NA,NA,2,1,1,1
"fenale",29,"sweden",3,1,NA,5,3,3,3,3,3,5,4,3,8,5,6,3,4,10,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",58,"poland",3,2,NA,5,3,4,4,3,3,6,5,6,5,1,2,3,4,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",21,"hungary",3,1,NA,9,4,3,4,3,3,1,1,1,8,3,5,2,1,10,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",44,"uk",6,1,3,7,3,4,3,3,2,5,7,5,3,2,2,5,5,22,4,4,1,NA,1,1,1,NA,1,NA,NA,NA,NA,2,1,1,1
"male",35,"spain",5,1,1,5,3,4,3,4,2,4,5,3,7,6,1,3,5,15,4,5,1,1,1,1,NA,1,0,NA,NA,NA,NA,2,1,1,1
"fenale",23,"spain",7,1,2,8,4,3,3,3,2,4,5,6,5,4,4,5,4,90,3,3,0,0,1,0,0,1,1,NA,NA,NA,NA,2,1,1,1
"male",35,"romania",2,2,5,4,3,3,3,3,3,3,5,6,5,5,5,4,4,50,4,4,0,0,1,1,NA,NA,NA,NA,1,NA,NA,2,1,1,1
"male",56,"uk",3,1,NA,7,2,2,4,2,2,5,0,0,3,6,5,2,2,20,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",20,"uk",3,1,NA,3,5,5,4,5,4,7,7,7,5,1,1,3,4,40,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
